the_master_key_01_f000001|The Master Key.|The Master Key.
the_master_key_10_f000074|There's only one thing to do; thought Rob, and that's to walk straight in, as I haven't any friends to give me a regular introduction.|There's only one thing to do; thought Rob, and that's to walk straight in, as I haven't any friends to give me a regular introduction.
the_master_key_10_f000075|So he boldly advanced to the gate, where he found himself stopped by crossed carbines and a cry of Halt!|So he boldly advanced to the gate, where he found himself stopped by crossed carbines and a cry of Halt!
the_master_key_10_f000076|Excuse me, said Rob; I'm in a hurry.|Excuse me, said Rob; I'm in a hurry.
the_master_key_10_f000077|He pushed the carbines aside and marched on.|He pushed the carbines aside and marched on.
the_master_key_10_f000078|The soldiers made thrusts at him with their weapons, and an officer jabbed at his breast with a glittering sword, but the Garment of Repulsion protected him from these dangers as well as from a hail of bullets that followed his advancing figure.|The soldiers made thrusts at him with their weapons, and an officer jabbed at his breast with a glittering sword, but the Garment of Repulsion protected him from these dangers as well as from a hail of bullets that followed his advancing figure.
the_master_key_10_f000079|He reached the entrance of the palace only to face another group of guardsmen and a second order to halt, and as these soldiers were over six feet tall and stood shoulder to shoulder Rob saw that he could not hope to pass them without using his electric tube.|He reached the entrance of the palace only to face another group of guardsmen and a second order to halt, and as these soldiers were over six feet tall and stood shoulder to shoulder Rob saw that he could not hope to pass them without using his electric tube.
the_master_key_10_f000080|Stand aside, you fellows! he ordered.|Stand aside, you fellows! he ordered.
the_master_key_10_f000081|There was no response.|There was no response.
the_master_key_10_f000082|He extended the tube and, as he pressed the button, described a semi-circle with the instrument.|He extended the tube and, as he pressed the button, described a semi-circle with the instrument.
the_master_key_10_f000083|Immediately the tall guardsmen toppled over like so many tenpins, and Rob stepped across their bodies and penetrated to the reception room, where a brilliant assemblage awaited, in hushed and anxious groups, for opportunity to obtain audience with the king.|Immediately the tall guardsmen toppled over like so many tenpins, and Rob stepped across their bodies and penetrated to the reception room, where a brilliant assemblage awaited, in hushed and anxious groups, for opportunity to obtain audience with the king.
the_master_key_10_f000084|I hope his Majesty isn't busy, said Rob to a solemn-visaged official who confronted him.|I hope his Majesty isn't busy, said Rob to a solemn-visaged official who confronted him.
the_master_key_10_f000085|I want to have a little talk with him.|I want to have a little talk with him.
the_master_key_10_f000086|I-I-ah-beg pardon!|I-I-ah-beg pardon!
the_master_key_10_f000087|exclaimed the astounded master of ceremonies.|exclaimed the astounded master of ceremonies.
the_master_key_10_f000088|What name, please?|What name, please?
the_master_key_10_f000089|Oh, never mind my name, replied Rob, and pushing the gentleman aside he entered the audience chamber of the great king.|Oh, never mind my name, replied Rob, and pushing the gentleman aside he entered the audience chamber of the great king.
the_master_key_10_f000090|King Edward was engaged in earnest consultation with one of his ministers, and after a look of surprise in Rob's direction and a grave bow he bestowed no further attention upon the intruder.|King Edward was engaged in earnest consultation with one of his ministers, and after a look of surprise in Rob's direction and a grave bow he bestowed no further attention upon the intruder.
the_master_key_10_f000091|But Rob was not to be baffled now.|But Rob was not to be baffled now.
the_master_key_10_f000092|Your Majesty, he interrupted, I've important news for you.|Your Majesty, he interrupted, I've important news for you.
the_master_key_10_f000093|A big fight is taking place in South Africa and your soldiers will probably be cut into mince meat.|A big fight is taking place in South Africa and your soldiers will probably be cut into mince meat.
the_master_key_10_f000094|The minister strode towards the boy angrily.|The minister strode towards the boy angrily.
the_master_key_10_f000095|Explain this intrusion! he cried.|Explain this intrusion! he cried.
the_master_key_10_f000096|I have explained.|I have explained.
the_master_key_10_f000097|The Boers are having a regular killing-bee.|The Boers are having a regular killing-bee.
the_master_key_10_f000098|Here!|Here!
the_master_key_10_f000099|take a look at it yourselves.|take a look at it yourselves.
the_master_key_10_f000100|He drew the Record from his pocket, and at the movement the minister shrank back as if he suspected it was an infernal machine and might blow his head off; but the king stepped quietly to the boy's side and looked into the box when Rob threw open the lid.|He drew the Record from his pocket, and at the movement the minister shrank back as if he suspected it was an infernal machine and might blow his head off; but the king stepped quietly to the boy's side and looked into the box when Rob threw open the lid.
the_master_key_10_f000101|As he comprehended the full wonder of the phenomenon he was observing Edward uttered a low cry of amazement, but thereafter he silently gazed upon the fierce battle that still raged far away upon the African VELD.|As he comprehended the full wonder of the phenomenon he was observing Edward uttered a low cry of amazement, but thereafter he silently gazed upon the fierce battle that still raged far away upon the African VELD.
the_master_key_10_f000102|Before long his keen eye recognized the troops engaged and realized their imminent danger.|Before long his keen eye recognized the troops engaged and realized their imminent danger.
the_master_key_10_f000103|They'll be utterly annihilated! he gasped.|They'll be utterly annihilated! he gasped.
the_master_key_10_f000104|What shall we do?|What shall we do?
the_master_key_10_f000105|Oh, we can't do anything just now, answered Rob.|Oh, we can't do anything just now, answered Rob.
the_master_key_10_f000106|But it's curious to watch how bravely the poor fellows fight for their lives.|But it's curious to watch how bravely the poor fellows fight for their lives.
the_master_key_10_f000107|The minister, who by this time was also peering into the box, groaned aloud, and then all three forgot their surroundings in the tragedy they were beholding.|The minister, who by this time was also peering into the box, groaned aloud, and then all three forgot their surroundings in the tragedy they were beholding.
the_master_key_10_f000108|Hemmed in by vastly superior numbers, the English were calmly and stubbornly resisting every inch of advance and selling their lives as dearly as possible.|Hemmed in by vastly superior numbers, the English were calmly and stubbornly resisting every inch of advance and selling their lives as dearly as possible.
the_master_key_10_f000109|Their leader fell pierced by a hundred bullets, and the king, who had known him from boyhood, passed his hand across his eyes as if to shut out the awful sight.|Their leader fell pierced by a hundred bullets, and the king, who had known him from boyhood, passed his hand across his eyes as if to shut out the awful sight.
the_master_key_10_f000110|But the fascination of the battle forced him to look again, and the next moment he cried aloud: Look there!|But the fascination of the battle forced him to look again, and the next moment he cried aloud: Look there!
the_master_key_10_f000111|Look there!|Look there!
the_master_key_10_f000112|Over the edge of a line of hills appeared the helmets of a file of English soldiers.|Over the edge of a line of hills appeared the helmets of a file of English soldiers.
the_master_key_10_f000113|They reached the summit, followed by rank after rank, until the hillside was alive with them.|They reached the summit, followed by rank after rank, until the hillside was alive with them.
the_master_key_10_f000114|And then, with a ringing cheer that came like a faint echo to the ears of the three watchers, they broke into a run and dashed forward to the rescue of their brave comrades.|And then, with a ringing cheer that came like a faint echo to the ears of the three watchers, they broke into a run and dashed forward to the rescue of their brave comrades.
the_master_key_10_f000115|The Boers faltered, gave back, and the next moment fled precipitately, while the exhausted survivors of the courageous band fell sobbing into the arms of their rescuers.|The Boers faltered, gave back, and the next moment fled precipitately, while the exhausted survivors of the courageous band fell sobbing into the arms of their rescuers.
the_master_key_10_f000116|Rob closed the lid of the Record with a sudden snap that betrayed his deep feeling, and the king pretended to cough behind his handkerchief and stealthily wiped his eyes.|Rob closed the lid of the Record with a sudden snap that betrayed his deep feeling, and the king pretended to cough behind his handkerchief and stealthily wiped his eyes.
the_master_key_10_f000117|'Twasn't so bad, after all, remarked the boy, with assumed cheerfulness; but it looked mighty ticklish for your men at one time.|'Twasn't so bad, after all, remarked the boy, with assumed cheerfulness; but it looked mighty ticklish for your men at one time.
the_master_key_10_f000118|King Edward regarded the boy curiously, remembering his abrupt entrance and the marvelous device he had exhibited.|King Edward regarded the boy curiously, remembering his abrupt entrance and the marvelous device he had exhibited.
the_master_key_10_f000119|What do you call that?|What do you call that?
the_master_key_10_f000120|he asked, pointing at the Record with a finger that trembled slightly from excitement.|he asked, pointing at the Record with a finger that trembled slightly from excitement.
the_master_key_10_f000121|It is a new electrical invention, replied Rob, replacing it in his pocket, and so constructed that events are reproduced at the exact moment they occur.|It is a new electrical invention, replied Rob, replacing it in his pocket, and so constructed that events are reproduced at the exact moment they occur.
the_master_key_10_f000122|Where can I purchase one?|Where can I purchase one?
the_master_key_10_f000123|demanded the king, eagerly.|demanded the king, eagerly.
the_master_key_10_f000124|They're not for sale, said Rob.|They're not for sale, said Rob.
the_master_key_10_f000125|This one of mine is the first that ever happened.|This one of mine is the first that ever happened.
the_master_key_10_f000126|Oh! I really think, continued the boy, nodding sagely, that it wouldn't be well to have these Records scattered around.|Oh! I really think, continued the boy, nodding sagely, that it wouldn't be well to have these Records scattered around.
the_master_key_10_f000127|Their use would give some folks unfair advantage over others, you know.|Their use would give some folks unfair advantage over others, you know.
the_master_key_10_f000128|Certainly.|Certainly.
the_master_key_10_f000129|I only showed you this battle because I happened to be in London at the time and thought you'd be interested.|I only showed you this battle because I happened to be in London at the time and thought you'd be interested.
the_master_key_10_f000130|It was very kind of you, said Edward; but how did you gain admittance?|It was very kind of you, said Edward; but how did you gain admittance?
the_master_key_10_f000131|Well, to tell the truth, I was obliged to knock over a few of your tall life-guards.|Well, to tell the truth, I was obliged to knock over a few of your tall life-guards.
the_master_key_10_f000132|They seem to think you're a good thing and need looking after, like jam in a cupboard.|They seem to think you're a good thing and need looking after, like jam in a cupboard.
the_master_key_10_f000133|The king smiled.|The king smiled.
the_master_key_10_f000134|I hope you haven't killed my guards, said he.|I hope you haven't killed my guards, said he.
the_master_key_10_f000135|Oh, no; they'll come around all right.|Oh, no; they'll come around all right.
the_master_key_10_f000136|It is necessary, continued Edward, that public men be protected from intrusion, no matter how democratic they may be personally.|It is necessary, continued Edward, that public men be protected from intrusion, no matter how democratic they may be personally.
the_master_key_10_f000137|You would probably find it as difficult to approach the President of the United States as the King of England.|You would probably find it as difficult to approach the President of the United States as the King of England.
the_master_key_10_f000138|Oh, I'm not complaining, said Rob.|Oh, I'm not complaining, said Rob.
the_master_key_10_f000139|It wasn't much trouble to break through.|It wasn't much trouble to break through.
the_master_key_10_f000140|You seem quite young to have mastered such wonderful secrets of Nature, continued the king.|You seem quite young to have mastered such wonderful secrets of Nature, continued the king.
the_master_key_10_f000141|So I am, replied Rob, modestly; but these natural forces have really existed since the beginning of the world, and some one was sure to discover them in time.|So I am, replied Rob, modestly; but these natural forces have really existed since the beginning of the world, and some one was sure to discover them in time.
the_master_key_10_f000142|He was quoting the Demon, although unconsciously.|He was quoting the Demon, although unconsciously.
the_master_key_10_f000143|You are an American, I suppose, said the minister, coming close to Rob and staring him in the face.|You are an American, I suppose, said the minister, coming close to Rob and staring him in the face.
the_master_key_10_f000144|Guessed right the first time, answered the boy, and drawing his Character Marking spectacles from his pocket, he put them on and stared at the minister in turn.|Guessed right the first time, answered the boy, and drawing his Character Marking spectacles from his pocket, he put them on and stared at the minister in turn.
the_master_key_10_f000145|Upon the man's forehead appeared the letter E. Your Majesty, said Rob, I have here another queer invention.|Upon the man's forehead appeared the letter E. Your Majesty, said Rob, I have here another queer invention.
the_master_key_10_f000146|Will you please wear these spectacles for a few moments?|Will you please wear these spectacles for a few moments?
the_master_key_10_f000147|The king at once put them on.|The king at once put them on.
the_master_key_10_f000148|They are called Character Markers, continued the boy, because the lenses catch and concentrate the character vibrations radiating from every human individual and reflect the true character of the person upon his forehead.|They are called Character Markers, continued the boy, because the lenses catch and concentrate the character vibrations radiating from every human individual and reflect the true character of the person upon his forehead.
the_master_key_10_f000149|If a letter 'G' appears, you may be sure his disposition is good; if his forehead is marked with an 'E' his character is evil, and you must beware of treachery.|If a letter 'G' appears, you may be sure his disposition is good; if his forehead is marked with an 'E' his character is evil, and you must beware of treachery.
the_master_key_10_f000150|The king saw the E plainly marked upon his minister's forehead, but he said nothing except Thank you, and returned the spectacles to Rob.|The king saw the E plainly marked upon his minister's forehead, but he said nothing except Thank you, and returned the spectacles to Rob.
the_master_key_10_f000151|But the minister, who from the first had been ill at ease, now became positively angry.|But the minister, who from the first had been ill at ease, now became positively angry.
the_master_key_10_f000152|Do not believe him, your Majesty! he cried.|Do not believe him, your Majesty! he cried.
the_master_key_10_f000153|It is a trick, and meant to deceive you.|It is a trick, and meant to deceive you.
the_master_key_10_f000154|I did not accuse you, answered the king, sternly.|I did not accuse you, answered the king, sternly.
the_master_key_10_f000155|Then he added: I wish to be alone with this young gentleman.|Then he added: I wish to be alone with this young gentleman.
the_master_key_10_f000156|The minister left the room with an anxious face and hanging head.|The minister left the room with an anxious face and hanging head.
the_master_key_10_f000157|Now, said Rob, let's look over the record of the past day and see if that fellow has been up to any mischief.|Now, said Rob, let's look over the record of the past day and see if that fellow has been up to any mischief.
the_master_key_10_f000158|He turned the cylinder of the Record to England, and slowly the events of the last twenty-four hours were reproduced, one after the other, upon the polished plate.|He turned the cylinder of the Record to England, and slowly the events of the last twenty-four hours were reproduced, one after the other, upon the polished plate.
the_master_key_10_f000159|Before long the king uttered an exclamation.|Before long the king uttered an exclamation.
the_master_key_10_f000160|The Record pictured a small room in which were seated three gentlemen engaged in earnest conversation.|The Record pictured a small room in which were seated three gentlemen engaged in earnest conversation.
the_master_key_10_f000161|One of them was the accused minister.|One of them was the accused minister.
the_master_key_10_f000162|Those men, said the king in a low voice, while he pointed out the other two, are my avowed enemies.|Those men, said the king in a low voice, while he pointed out the other two, are my avowed enemies.
the_master_key_10_f000163|This is proof that your wonderful spectacles indicated my minister's character with perfect truth.|This is proof that your wonderful spectacles indicated my minister's character with perfect truth.
the_master_key_10_f000164|I am grateful to you for thus putting me upon my guard, for I have trusted the man fully.|I am grateful to you for thus putting me upon my guard, for I have trusted the man fully.
the_master_key_10_f000165|Oh, don't mention it, replied the boy, lightly; I'm glad to have been of service to you.|Oh, don't mention it, replied the boy, lightly; I'm glad to have been of service to you.
the_master_key_10_f000166|But it's time for me to go.|But it's time for me to go.
the_master_key_10_f000167|I hope you will favor me with another interview, said the king, for I am much interested in your electrical inventions.|I hope you will favor me with another interview, said the king, for I am much interested in your electrical inventions.
the_master_key_10_f000168|I will instruct my guards to admit you at any time, so you will not be obliged to fight your way in.|I will instruct my guards to admit you at any time, so you will not be obliged to fight your way in.
the_master_key_10_f000169|All right.|All right.
the_master_key_10_f000170|But it really doesn't matter, answered Rob.|But it really doesn't matter, answered Rob.
the_master_key_10_f000171|It's no trouble at all to knock 'em over.|It's no trouble at all to knock 'em over.
the_master_key_10_f000172|Then he remembered his manners and bowed low before the king, who seemed to him a fine fellow and not a bit stuck up.|Then he remembered his manners and bowed low before the king, who seemed to him a fine fellow and not a bit stuck up.
the_master_key_10_f000173|And then he walked calmly from the palace.|And then he walked calmly from the palace.
the_master_key_10_f000174|The people in the outer room stared at him wonderingly and the officer of the guard saluted the boy respectfully.|The people in the outer room stared at him wonderingly and the officer of the guard saluted the boy respectfully.
the_master_key_10_f000175|But Rob only smiled in an amused way as he marched past them with his hands thrust deep into his trousers' pockets and his straw hat tipped jauntily upon the back of his head.|But Rob only smiled in an amused way as he marched past them with his hands thrust deep into his trousers' pockets and his straw hat tipped jauntily upon the back of his head.
the_master_key_11_f000001|Chapter 11.|Chapter eleven.
the_master_key_11_f000002|The Man of Science.|The Man of Science.
the_master_key_11_f000003|Rob passed the remainder of the day wandering about London and amusing himself by watching the peculiar ways of the people.|Rob passed the remainder of the day wandering about London and amusing himself by watching the peculiar ways of the people.
the_master_key_11_f000004|When it became so dark that there was no danger of his being observed, he rose through the air to the narrow slit in the church tower and lay upon the floor of the little room, with the bells hanging all around him, to pass the night.|When it became so dark that there was no danger of his being observed, he rose through the air to the narrow slit in the church tower and lay upon the floor of the little room, with the bells hanging all around him, to pass the night.
the_master_key_11_f000005|He was just falling asleep when a tremendous din and clatter nearly deafened him, and set the whole tower trembling.|He was just falling asleep when a tremendous din and clatter nearly deafened him, and set the whole tower trembling.
the_master_key_11_f000006|It was the midnight chime.|It was the midnight chime.
the_master_key_11_f000007|Rob clutched his ears tightly, and when the vibrations had died away descended by the ladder to a lower platform.|Rob clutched his ears tightly, and when the vibrations had died away descended by the ladder to a lower platform.
the_master_key_11_f000008|But even here the next hourly chime made his ears ring, and he kept descending from platform to platform until the last half of a restless night was passed in the little room at the bottom of the tower.|But even here the next hourly chime made his ears ring, and he kept descending from platform to platform until the last half of a restless night was passed in the little room at the bottom of the tower.
the_master_key_11_f000009|When, at daylight, the boy sat up and rubbed his eyes, he said, wearily: Churches are all right as churches; but as hotels they are rank failures.|When, at daylight, the boy sat up and rubbed his eyes, he said, wearily: Churches are all right as churches; but as hotels they are rank failures.
the_master_key_11_f000010|I ought to have bunked in with my friend, King Edward.|I ought to have bunked in with my friend, King Edward.
the_master_key_11_f000011|He climbed up the stairs and the ladders again and looked out the little window in the belfry.|He climbed up the stairs and the ladders again and looked out the little window in the belfry.
the_master_key_11_f000012|Then he examined his map of Europe.|Then he examined his map of Europe.
the_master_key_11_f000013|I believe I'll take a run over to Paris, he thought.|I believe I'll take a run over to Paris, he thought.
the_master_key_11_f000014|I must be home again by Saturday, to meet the Demon, so I'll have to make every day count.|I must be home again by Saturday, to meet the Demon, so I'll have to make every day count.
the_master_key_11_f000015|Without waiting for breakfast, since he had eaten a tablet the evening before, he crept through the window and mounted into the fresh morning air until the great city with its broad waterway lay spread out beneath him.|Without waiting for breakfast, since he had eaten a tablet the evening before, he crept through the window and mounted into the fresh morning air until the great city with its broad waterway lay spread out beneath him.
the_master_key_11_f000016|Then he sped away to the southeast and, crossing the channel, passed between Amiens and Rouen and reached Paris before ten o'clock.|Then he sped away to the southeast and, crossing the channel, passed between Amiens and Rouen and reached Paris before ten o'clock.
the_master_key_11_f000017|Near the outskirts of the city appeared a high tower, upon the flat roof of which a man was engaged in adjusting a telescope.|Near the outskirts of the city appeared a high tower, upon the flat roof of which a man was engaged in adjusting a telescope.
the_master_key_11_f000018|Upon seeing Rob, who was passing at no great distance from this tower, the man cried out: APPROCHEZ!-VENEZ ICI!|Upon seeing Rob, who was passing at no great distance from this tower, the man cried out: APPROCHEZ!-VENEZ ICI!
the_master_key_11_f000019|Then he waved his hands frantically in the air, and fairly danced with excitement.|Then he waved his hands frantically in the air, and fairly danced with excitement.
the_master_key_11_f000020|So the boy laughed and dropped down to the roof where, standing beside the Frenchman, whose eyes were actually protruding from their sockets, he asked, coolly: Well, what do you want?|So the boy laughed and dropped down to the roof where, standing beside the Frenchman, whose eyes were actually protruding from their sockets, he asked, coolly: Well, what do you want?
the_master_key_11_f000021|The other was for a moment speechless.|The other was for a moment speechless.
the_master_key_11_f000022|He was a tall, lean man, having a bald head but a thick, iron-gray beard, and his black eyes sparkled brightly from behind a pair of gold-rimmed spectacles.|He was a tall, lean man, having a bald head but a thick, iron-gray beard, and his black eyes sparkled brightly from behind a pair of gold-rimmed spectacles.
the_master_key_11_f000023|After attentively regarding the boy for a time he said, in broken English: But, M'sieur, how can you fly wizout ze-ze machine?|After attentively regarding the boy for a time he said, in broken English: But, M'sieur, how can you fly wizout ze-ze machine?
the_master_key_11_f000024|I have experiment myself wiz some air-ship; but you-zere is nossing to make go!|I have experiment myself wiz some air-ship; but you-zere is nossing to make go!
the_master_key_11_f000025|Rob guessed that here was his opportunity to do the Demon a favor by explaining his electrical devices to this new acquaintance, who was evidently a man of science.|Rob guessed that here was his opportunity to do the Demon a favor by explaining his electrical devices to this new acquaintance, who was evidently a man of science.
the_master_key_11_f000026|Here is the secret, Professor, he said, and holding out his wrist displayed the traveling machine and explained, as well as he could, the forces that operated it.|Here is the secret, Professor, he said, and holding out his wrist displayed the traveling machine and explained, as well as he could, the forces that operated it.
the_master_key_11_f000027|The Frenchman, as you may suppose, was greatly astonished, and to show how perfectly the machine worked Rob turned the indicator and rose a short distance above the tower, circling around it before he rejoined the professor on the roof.|The Frenchman, as you may suppose, was greatly astonished, and to show how perfectly the machine worked Rob turned the indicator and rose a short distance above the tower, circling around it before he rejoined the professor on the roof.
the_master_key_11_f000028|Then he showed his food tablets, explaining how each was stored with sufficient nourishment for an entire day.|Then he showed his food tablets, explaining how each was stored with sufficient nourishment for an entire day.
the_master_key_11_f000029|The scientist positively gasped for breath, so powerful was the excitement he experienced at witnessing these marvels.|The scientist positively gasped for breath, so powerful was the excitement he experienced at witnessing these marvels.
the_master_key_11_f000030|Eet is wonderful-grand-magnifique! he exclaimed.|Eet is wonderful-grand-magnifique! he exclaimed.
the_master_key_11_f000031|But here is something of still greater interest, continued Rob, and taking the Automatic Record of Events from his pocket he allowed the professor to view the remarkable scenes that were being enacted throughout the civilized world.|But here is something of still greater interest, continued Rob, and taking the Automatic Record of Events from his pocket he allowed the professor to view the remarkable scenes that were being enacted throughout the civilized world.
the_master_key_11_f000032|The Frenchman was now trembling violently, and he implored Rob to tell him where he might obtain similar electrical machines.|The Frenchman was now trembling violently, and he implored Rob to tell him where he might obtain similar electrical machines.
the_master_key_11_f000033|I can't do that, replied the boy, decidedly; but, having seen these, you may be able to discover their construction for yourself.|I can't do that, replied the boy, decidedly; but, having seen these, you may be able to discover their construction for yourself.
the_master_key_11_f000034|Now that you know such things to be possible and practical, the hint should be sufficient to enable a shrewd electrician to prepare duplicates of them.|Now that you know such things to be possible and practical, the hint should be sufficient to enable a shrewd electrician to prepare duplicates of them.
the_master_key_11_f000035|The scientist glared at him with evident disappointment, and Rob continued: These are not all the wonders I can exhibit.|The scientist glared at him with evident disappointment, and Rob continued: These are not all the wonders I can exhibit.
the_master_key_11_f000036|Here is another electrical device that is, perhaps, the most remarkable of any I possess.|Here is another electrical device that is, perhaps, the most remarkable of any I possess.
the_master_key_11_f000037|He took the Character Marking spectacles from his pocket and fitted them to his eyes.|He took the Character Marking spectacles from his pocket and fitted them to his eyes.
the_master_key_11_f000038|Then he gave a whistle of surprise and turned his back upon his new friend.|Then he gave a whistle of surprise and turned his back upon his new friend.
the_master_key_11_f000039|He had seen upon the Frenchman's forehead the letters E and C. Guess I've struck the wrong sort of scientist, after all!|He had seen upon the Frenchman's forehead the letters E and C. Guess I've struck the wrong sort of scientist, after all!
the_master_key_11_f000040|he muttered, in a disgusted tone.|he muttered, in a disgusted tone.
the_master_key_11_f000041|His companion was quick to prove the accuracy of the Character Marker.|His companion was quick to prove the accuracy of the Character Marker.
the_master_key_11_f000042|Seeing the boy's back turned, he seized a long iron bar that was used to operate the telescope, and struck at Rob so fiercely that had he not worn the Garment of Protection his skull would have been crushed by the blow.|Seeing the boy's back turned, he seized a long iron bar that was used to operate the telescope, and struck at Rob so fiercely that had he not worn the Garment of Protection his skull would have been crushed by the blow.
the_master_key_11_f000043|At it was, the bar rebounded with a force that sent the murderous Frenchman sprawling upon the roof, and Rob turned around and laughed at him.|At it was, the bar rebounded with a force that sent the murderous Frenchman sprawling upon the roof, and Rob turned around and laughed at him.
the_master_key_11_f000044|It won't work, Professor, he said.|It won't work, Professor, he said.
the_master_key_11_f000045|I'm proof against assassins.|I'm proof against assassins.
the_master_key_11_f000046|Perhaps you had an idea that when you had killed me you could rob me of my valuable possessions; but they wouldn't be a particle of use to a scoundrel like you, I assure you!|Perhaps you had an idea that when you had killed me you could rob me of my valuable possessions; but they wouldn't be a particle of use to a scoundrel like you, I assure you!
the_master_key_11_f000047|Good morning.|Good morning.
the_master_key_11_f000048|Before the surprised and baffled scientist could collect himself sufficiently to reply, the boy was soaring far above his head and searching for a convenient place to alight, that he might investigate the charms of this famed city of Paris.|Before the surprised and baffled scientist could collect himself sufficiently to reply, the boy was soaring far above his head and searching for a convenient place to alight, that he might investigate the charms of this famed city of Paris.
the_master_key_11_f000049|It was indeed a beautiful place, with many stately buildings lining the shady boulevards.|It was indeed a beautiful place, with many stately buildings lining the shady boulevards.
the_master_key_11_f000050|So thronged were the streets that Rob well knew he would soon be the center of a curious crowd should he alight upon them.|So thronged were the streets that Rob well knew he would soon be the center of a curious crowd should he alight upon them.
the_master_key_11_f000051|Already a few sky-gazers had noted the boy moving high in the air, above their heads, and one or two groups stood pointing their fingers at him.|Already a few sky-gazers had noted the boy moving high in the air, above their heads, and one or two groups stood pointing their fingers at him.
the_master_key_11_f000052|Pausing at length above the imposing structure of the Hotel Anglais, Rob noticed at one of the upper floors an open window, before which was a small iron balcony.|Pausing at length above the imposing structure of the Hotel Anglais, Rob noticed at one of the upper floors an open window, before which was a small iron balcony.
the_master_key_11_f000053|Alighting upon this he proceeded to enter, without hesitation, the open window.|Alighting upon this he proceeded to enter, without hesitation, the open window.
the_master_key_11_f000054|He heard a shriek and a cry of AU VOLEUR!|He heard a shriek and a cry of AU VOLEUR!
the_master_key_11_f000055|and caught sight of a woman's figure as she dashed into an adjoining room, slamming and locking the door behind her.|and caught sight of a woman's figure as she dashed into an adjoining room, slamming and locking the door behind her.
the_master_key_11_f000056|I don't know as I blame her, observed Rob, with a smile at the panic he had created.|I don't know as I blame her, observed Rob, with a smile at the panic he had created.
the_master_key_11_f000057|I s'pose she takes me for a burglar, and thinks I've climbed up the lightning rod.|I s'pose she takes me for a burglar, and thinks I've climbed up the lightning rod.
the_master_key_11_f000058|He soon found the door leading into the hallway and walked down several flights of stairs until he reached the office of the hotel.|He soon found the door leading into the hallway and walked down several flights of stairs until he reached the office of the hotel.
the_master_key_11_f000059|How much do you charge a day?|How much do you charge a day?
the_master_key_11_f000060|he inquired, addressing a fat and pompous-looking gentlemen behind the desk.|he inquired, addressing a fat and pompous-looking gentlemen behind the desk.
the_master_key_11_f000061|The man looked at him in a surprised way, for he had not heard the boy enter the room.|The man looked at him in a surprised way, for he had not heard the boy enter the room.
the_master_key_11_f000062|But he said something in French to a waiter who was passing, and the latter came to Rob and made a low bow.|But he said something in French to a waiter who was passing, and the latter came to Rob and made a low bow.
the_master_key_11_f000063|I speak ze Eengliss ver' fine, he said.|I speak ze Eengliss ver' fine, he said.
the_master_key_11_f000064|What desire have you?|What desire have you?
the_master_key_11_f000065|What are your rates by the day? asked the boy.|What are your rates by the day? asked the boy.
the_master_key_11_f000066|Ten francs, M'sieur.|Ten francs, M'sieur.
the_master_key_11_f000067|How many dollars is that?|How many dollars is that?
the_master_key_11_f000068|Dollar Americaine?|Dollar Americaine?
the_master_key_11_f000069|Yes; United States money.|Yes; United States money.
the_master_key_11_f000070|Ah, OUI!|Ah, OUI!
the_master_key_11_f000071|Eet is ze two dollar, M'sieur.|Eet is ze two dollar, M'sieur.
the_master_key_11_f000072|All right; I can stay about a day before I go bankrupt.|All right; I can stay about a day before I go bankrupt.
the_master_key_11_f000073|Give me a room.|Give me a room.
the_master_key_11_f000074|CERTAINEMENT, M'sieur.|CERTAINEMENT, M'sieur.
the_master_key_11_f000075|Have you ze luggage?|Have you ze luggage?
the_master_key_11_f000076|No; but I'll pay in advance, said Rob, and began counting out his dimes and nickles and pennies, to the unbounded amazement of the waiter, who looked as if he had never seen such coins before.|No; but I'll pay in advance, said Rob, and began counting out his dimes and nickles and pennies, to the unbounded amazement of the waiter, who looked as if he had never seen such coins before.
the_master_key_11_f000077|He carried the money to the fat gentleman, who examined the pieces curiously, and there was a long conference between them before it was decided to accept them in payment for a room for a day.|He carried the money to the fat gentleman, who examined the pieces curiously, and there was a long conference between them before it was decided to accept them in payment for a room for a day.
the_master_key_11_f000078|But at this season the hotel was almost empty, and when Rob protested that he had no other money the fat gentleman put the coins into his cash box with a resigned sigh and the waiter showed the boy to a little room at the very top of the building.|But at this season the hotel was almost empty, and when Rob protested that he had no other money the fat gentleman put the coins into his cash box with a resigned sigh and the waiter showed the boy to a little room at the very top of the building.
the_master_key_11_f000079|Rob washed and brushed the dust from his clothes, after which he sat down and amused himself by viewing the pictures that constantly formed upon the polished plate of the Record of Events.|Rob washed and brushed the dust from his clothes, after which he sat down and amused himself by viewing the pictures that constantly formed upon the polished plate of the Record of Events.
the_master_key_12_f000001|Chapter 12.|Chapter twelve.
the_master_key_12_f000002|How Rob Saved A Republic.|How Rob Saved A Republic.
the_master_key_12_f000003|While following the shifting scenes of the fascinating Record Rob noted an occurrence that caused him to give a low whistle of astonishment and devote several moments to serious thought.|While following the shifting scenes of the fascinating Record Rob noted an occurrence that caused him to give a low whistle of astonishment and devote several moments to serious thought.
the_master_key_12_f000004|I believe it's about time I interfered with the politics of this Republic, he said, at last, as he closed the lid of the metal box and restored it to his pocket.|I believe it's about time I interfered with the politics of this Republic, he said, at last, as he closed the lid of the metal box and restored it to his pocket.
