the_sea_fairies_01_f000001|THE oceans are big and broad.|THE oceans are big and broad.
the_sea_fairies_10_f000084|And you are Aquareine, the mermaid queen.|And you are Aquareine, the mermaid queen.
the_sea_fairies_10_f000085|You see, I remember you, although you haven't been here for years.|You see, I remember you, although you haven't been here for years.
the_sea_fairies_10_f000086|And isn't that Princess Clia?|And isn't that Princess Clia?
the_sea_fairies_10_f000087|To be sure!|To be sure!
the_sea_fairies_10_f000088|But the other mermaids are strangers to me, especially the bald-headed one.|But the other mermaids are strangers to me, especially the bald-headed one.
the_sea_fairies_10_f000089|I'm not a mermaid, asserted Captain Bill.|I'm not a mermaid, asserted Captain Bill.
the_sea_fairies_10_f000090|I'm a sailor jes' a-visitin' the mermaids.|I'm a sailor jes' a-visitin' the mermaids.
the_sea_fairies_10_f000091|Our friends are earth dwellers, explained the Queen.|Our friends are earth dwellers, explained the Queen.
the_sea_fairies_10_f000092|That's odd, said Muffruff.|That's odd, said Muffruff.
the_sea_fairies_10_f000093|I candt remember that any earth dwellers ever came this way before.|I candt remember that any earth dwellers ever came this way before.
the_sea_fairies_10_f000094|I never travel far, you see, for I'm chief of this disorderly family of seals that live on this islandon it and off it, that is.|I never travel far, you see, for I'm chief of this disorderly family of seals that live on this islandon it and off it, that is.
the_sea_fairies_10_f000095|You're a poor chief, said a big turtle lying beside the seal.|You're a poor chief, said a big turtle lying beside the seal.
the_sea_fairies_10_f000096|If your people are disorderly, it is your own fault.|If your people are disorderly, it is your own fault.
the_sea_fairies_10_f000097|Muffruff gave a chuckling laugh.|Muffruff gave a chuckling laugh.
the_sea_fairies_10_f000098|Then, with a movement quick as lightning, he pushed his head under the shell of the turtle and gave it a sudden jerk.|Then, with a movement quick as lightning, he pushed his head under the shell of the turtle and gave it a sudden jerk.
the_sea_fairies_10_f000099|The huge turtle was tossed up on edge and then turned flat upon its back, where its short legs struggled vainly to right its overturned body.|The huge turtle was tossed up on edge and then turned flat upon its back, where its short legs struggled vainly to right its overturned body.
the_sea_fairies_10_f000100|There!|There!
the_sea_fairies_10_f000101|snorted the Seal contemptuously.|snorted the Seal contemptuously.
the_sea_fairies_10_f000102|Perhaps you'll dare insult me again in the presence of visitors, you old mud-wallower!|Perhaps you'll dare insult me again in the presence of visitors, you old mud-wallower!
the_sea_fairies_10_f000103|Seeing the plight of the turtle, several young seals came laughingly wabbling to the spot, and as they approached the helpless creature drew in his legs and head and closed his two shells tightly together.|Seeing the plight of the turtle, several young seals came laughingly wabbling to the spot, and as they approached the helpless creature drew in his legs and head and closed his two shells tightly together.
the_sea_fairies_10_f000104|The seals bumped against the turtle and gave it a push that sent it sliding down the beach like a toboggan, and a minute later it splashed into the water and sank out of sight.|The seals bumped against the turtle and gave it a push that sent it sliding down the beach like a toboggan, and a minute later it splashed into the water and sank out of sight.
the_sea_fairies_10_f000105|But that was just what the creature wanted.|But that was just what the creature wanted.
the_sea_fairies_10_f000106|On shore the upset turtle was quite helpless; but the mischievous seals saved him.|On shore the upset turtle was quite helpless; but the mischievous seals saved him.
the_sea_fairies_10_f000107|For as soon as he touched the water, he was able to turn and right himself, which he promptly did.|For as soon as he touched the water, he was able to turn and right himself, which he promptly did.
the_sea_fairies_10_f000108|Then he raised his head above the water and asked: Is it peace or war, Muffruff?|Then he raised his head above the water and asked: Is it peace or war, Muffruff?
the_sea_fairies_10_f000109|Whichever you like, answered the Seal indifferently.|Whichever you like, answered the Seal indifferently.
the_sea_fairies_10_f000110|Perhaps the turtle was angry, for it ran on shore with remarkable swiftness, uttering a shrill cry as it advanced.|Perhaps the turtle was angry, for it ran on shore with remarkable swiftness, uttering a shrill cry as it advanced.
the_sea_fairies_10_f000111|At once all the other turtles awoke to life and with upraised heads joined their comrade in the rush for the seals.|At once all the other turtles awoke to life and with upraised heads joined their comrade in the rush for the seals.
the_sea_fairies_10_f000112|Most of Chief Muffruff's band scrambled hastily down the rocks and plunged into the water of the sea without waiting for the turtles to reach them;|Most of Chief Muffruff's band scrambled hastily down the rocks and plunged into the water of the sea without waiting for the turtles to reach them;
the_sea_fairies_10_f000113|but the chief himself was slow in escaping.|but the chief himself was slow in escaping.
the_sea_fairies_10_f000114|It may be that he was ashamed to run while the mermaids were watching, but if this was so he made a great mistake.|It may be that he was ashamed to run while the mermaids were watching, but if this was so he made a great mistake.
the_sea_fairies_10_f000115|The turtles snapped at his fins and tail and began biting round chunks out of them so that Chief Muffruff screamed with pain and anger and floundered into the water as fast as he could go.|The turtles snapped at his fins and tail and began biting round chunks out of them so that Chief Muffruff screamed with pain and anger and floundered into the water as fast as he could go.
the_sea_fairies_10_f000116|The vengeful turtles were certainly the victors, and now held undisputed possession of the island.|The vengeful turtles were certainly the victors, and now held undisputed possession of the island.
the_sea_fairies_10_f000117|Trot laughed joyously at the incident, not feeling a bit sorry for the old seal who had foolishly begun the battle.|Trot laughed joyously at the incident, not feeling a bit sorry for the old seal who had foolishly begun the battle.
the_sea_fairies_10_f000118|Even the gentle queen smiled as she said: These quarrels between the turtles and the seals are very frequent, but they are soon ended.|Even the gentle queen smiled as she said: These quarrels between the turtles and the seals are very frequent, but they are soon ended.
the_sea_fairies_10_f000119|An hour from now they will all be lying asleep together just as we found them; but we will not wait for that.|An hour from now they will all be lying asleep together just as we found them; but we will not wait for that.
the_sea_fairies_10_f000120|Let us go.|Let us go.
the_sea_fairies_10_f000121|She sank slowly beneath the water again, and the others followed after her.|She sank slowly beneath the water again, and the others followed after her.
the_sea_fairies_11_f000001|CHAPTER 11 ZOG THE TERRIBLE AND HIS SEA DEVILS.|CHAPTER eleven ZOG THE TERRIBLE AND HIS SEA DEVILS.
the_sea_fairies_11_f000002|The sun must be going under a cloud, said Trot, looking ahead.|The sun must be going under a cloud, said Trot, looking ahead.
the_sea_fairies_11_f000003|They had descended far into the ocean depths againfurther, the girl thought, than they had ever been before.|They had descended far into the ocean depths againfurther, the girl thought, than they had ever been before.
the_sea_fairies_11_f000004|No, the Queen answered after a glance ahead of them, that is a cuttlefish, and he is dyeing the sea around him with ink so that he can hide from us.|No, the Queen answered after a glance ahead of them, that is a cuttlefish, and he is dyeing the sea around him with ink so that he can hide from us.
the_sea_fairies_11_f000005|Let us turn a little to the left, for we could see nothing at all in that inky water.|Let us turn a little to the left, for we could see nothing at all in that inky water.
the_sea_fairies_11_f000006|Following her advice, they made a broad curve to the left, and at once the water began to darken in that direction.|Following her advice, they made a broad curve to the left, and at once the water began to darken in that direction.
the_sea_fairies_11_f000007|Why, there's another of them, said Captain Bill as the little party came to a sudden halt.|Why, there's another of them, said Captain Bill as the little party came to a sudden halt.
the_sea_fairies_11_f000008|So there is, returned the Queen, and Trot thought there was a little quiver of anxiety in her voice.|So there is, returned the Queen, and Trot thought there was a little quiver of anxiety in her voice.
the_sea_fairies_11_f000009|We must go far to the right to escape the ink.|We must go far to the right to escape the ink.
the_sea_fairies_11_f000010|So they again started, this time almost at a right angle to their former course, the little girl inquired: How can the cuttlefish color the water so very black?|So they again started, this time almost at a right angle to their former course, the little girl inquired: How can the cuttlefish color the water so very black?
the_sea_fairies_11_f000011|They carry big sacks in front of them where they conceal the ink, Princess Clia answered.|They carry big sacks in front of them where they conceal the ink, Princess Clia answered.
the_sea_fairies_11_f000012|Whenever they choose, the cuttlefish are able to press out this ink, and it colors the water for a great space around them.|Whenever they choose, the cuttlefish are able to press out this ink, and it colors the water for a great space around them.
the_sea_fairies_11_f000013|The direction in which they were now swimming was taking them far out of their way.|The direction in which they were now swimming was taking them far out of their way.
the_sea_fairies_11_f000014|Aquareine did not wish to travel very far to the right, so when she thought they had gone far enough to escape the inky water,|Aquareine did not wish to travel very far to the right, so when she thought they had gone far enough to escape the inky water,
the_sea_fairies_11_f000015|she turned to lead her party toward the leftthe direction in which she DID wish to go.|she turned to lead her party toward the leftthe direction in which she DID wish to go.
the_sea_fairies_11_f000016|At once another cloud of ink stained the water and drove them to the right again.|At once another cloud of ink stained the water and drove them to the right again.
the_sea_fairies_11_f000017|Is anything wrong, ma'am? asked Captain Bill, seeing a frown gather upon the queen's lovely face.|Is anything wrong, ma'am? asked Captain Bill, seeing a frown gather upon the queen's lovely face.
the_sea_fairies_11_f000018|I hope not, she said.|I hope not, she said.
the_sea_fairies_11_f000019|But I must warn you that these cuttlefish are the servants of the terrible sea devils, and from the way they are acting they seem determined to drive us toward the Devil Caves, which I wished to avoid.|But I must warn you that these cuttlefish are the servants of the terrible sea devils, and from the way they are acting they seem determined to drive us toward the Devil Caves, which I wished to avoid.
the_sea_fairies_11_f000020|This admission on the part of their powerful protector, the fairy mermaid, sent a chill to the hearts of the earth people.|This admission on the part of their powerful protector, the fairy mermaid, sent a chill to the hearts of the earth people.
the_sea_fairies_11_f000021|Neither spoke for a time, but finally Captain Bill asked in a timid voice: Hadn't we better go back, ma'am?|Neither spoke for a time, but finally Captain Bill asked in a timid voice: Hadn't we better go back, ma'am?
the_sea_fairies_11_f000022|Yes, decided Aquareine after a moment's thought.|Yes, decided Aquareine after a moment's thought.
the_sea_fairies_11_f000023|I think it will be wise to retreat.|I think it will be wise to retreat.
the_sea_fairies_11_f000024|The sea devils are evidently aware of our movements and wish to annoy us.|The sea devils are evidently aware of our movements and wish to annoy us.
the_sea_fairies_11_f000025|For my part, I have no fear of them, but I do not care to have you meet such creatures.|For my part, I have no fear of them, but I do not care to have you meet such creatures.
the_sea_fairies_11_f000026|But when they turned around to abandon their journey, another inky cloud was to be seen behind them.|But when they turned around to abandon their journey, another inky cloud was to be seen behind them.
the_sea_fairies_11_f000027|They really had no choice but to swim in the only streak of clear water they could find, and the mermaids well knew this would lead them nearer and nearer to the caves of their enemies.|They really had no choice but to swim in the only streak of clear water they could find, and the mermaids well knew this would lead them nearer and nearer to the caves of their enemies.
the_sea_fairies_11_f000028|But Aquareine led the way, moving very slowly, and the others followed her.|But Aquareine led the way, moving very slowly, and the others followed her.
the_sea_fairies_11_f000029|In every other direction they were hemmed in by the black waters, and they did not dare to halt, because the inky fluid crept swiftly up behind them and drove them on.|In every other direction they were hemmed in by the black waters, and they did not dare to halt, because the inky fluid crept swiftly up behind them and drove them on.
the_sea_fairies_11_f000030|The queen and the princess had now become silent and grave.|The queen and the princess had now become silent and grave.
the_sea_fairies_11_f000031|They swam on either side of their guests as if to better protect them.|They swam on either side of their guests as if to better protect them.
the_sea_fairies_11_f000032|Don't look up, whispered Clia, pressing close to the little girl's side.|Don't look up, whispered Clia, pressing close to the little girl's side.
the_sea_fairies_11_f000033|Why not? asked Trot, and then she did exactly what she had been told not to do.|Why not? asked Trot, and then she did exactly what she had been told not to do.
the_sea_fairies_11_f000034|She lifted her head and saw stretched over them a network of scrawny, crimson arms interlaced like the branches of trees in winter when the leaves have fallen and left them bare.|She lifted her head and saw stretched over them a network of scrawny, crimson arms interlaced like the branches of trees in winter when the leaves have fallen and left them bare.
the_sea_fairies_11_f000035|Captain Bill gave a start and muttered Land sakes!|Captain Bill gave a start and muttered Land sakes!
the_sea_fairies_11_f000036|for he, too, had gazed upward and seen the crimson network of limbs.|for he, too, had gazed upward and seen the crimson network of limbs.
the_sea_fairies_11_f000037|Are these the sea devils? asked the child, more curious than frightened.|Are these the sea devils? asked the child, more curious than frightened.
the_sea_fairies_11_f000038|Yes, dear, replied the Queen.|Yes, dear, replied the Queen.
the_sea_fairies_11_f000039|But I advise you to pay no attention to them.|But I advise you to pay no attention to them.
the_sea_fairies_11_f000040|Remember, they cannot touch us.|Remember, they cannot touch us.
the_sea_fairies_11_f000041|In order to avoid the threatening arms overhead, which followed them as they swam, our friends kept near to the bottom of the sea, which was here thickly covered with rough and jagged rocks.|In order to avoid the threatening arms overhead, which followed them as they swam, our friends kept near to the bottom of the sea, which was here thickly covered with rough and jagged rocks.
the_sea_fairies_11_f000042|The inky water had now been left far behind, but when Trot looked over her shoulder, she shuddered to find a great crimson monster following closely after them,|The inky water had now been left far behind, but when Trot looked over her shoulder, she shuddered to find a great crimson monster following closely after them,
the_sea_fairies_11_f000043|with a dozen long, snaky feelers stretched out as if to grab anyone that lagged behind.|with a dozen long, snaky feelers stretched out as if to grab anyone that lagged behind.
the_sea_fairies_11_f000044|And there, at the side of Princess Clia, was another devil, leering silently with his cruel, bulging eyes at the pretty mermaid.|And there, at the side of Princess Clia, was another devil, leering silently with his cruel, bulging eyes at the pretty mermaid.
the_sea_fairies_11_f000045|Beside the queen swam still another of their enemies.|Beside the queen swam still another of their enemies.
the_sea_fairies_11_f000046|Indeed, the sea devils had crept upon them and surrounded them everywhere except at the front, and Trot began to feel nervous and worried for the first time.|Indeed, the sea devils had crept upon them and surrounded them everywhere except at the front, and Trot began to feel nervous and worried for the first time.
the_sea_fairies_11_f000047|Captain Bill kept mumbling queer words under his breath, for he had a way of talking to himself when anything upsot him, as he would quaintly remark.|Captain Bill kept mumbling queer words under his breath, for he had a way of talking to himself when anything upsot him, as he would quaintly remark.
the_sea_fairies_11_f000048|Trot always knew he was disturbed or in trouble when he began to growl.|Trot always knew he was disturbed or in trouble when he began to growl.
the_sea_fairies_11_f000049|The only way now open was straight ahead.|The only way now open was straight ahead.
the_sea_fairies_11_f000050|They swam slowly, yet fast enough to keep a safe distance from the dreadful creature behind them.|They swam slowly, yet fast enough to keep a safe distance from the dreadful creature behind them.
the_sea_fairies_11_f000051|I'm afraid they are driving us into a trap, whispered the Queen softly.|I'm afraid they are driving us into a trap, whispered the Queen softly.
the_sea_fairies_11_f000052|But whatever happens, do not lose courage, earth friends.|But whatever happens, do not lose courage, earth friends.
the_sea_fairies_11_f000053|Clia and I are here to protect you, and our fairy powers are sufficient to keep you from all harm.|Clia and I are here to protect you, and our fairy powers are sufficient to keep you from all harm.
the_sea_fairies_11_f000054|Oh, I don't mind so very much, declared Trot calmly.|Oh, I don't mind so very much, declared Trot calmly.
the_sea_fairies_11_f000055|It's like the fairy adventures in storybooks, and I've often thought I'd like that kind of adventures, because the story always turns out the right way.|It's like the fairy adventures in storybooks, and I've often thought I'd like that kind of adventures, because the story always turns out the right way.
the_sea_fairies_11_f000056|Captain Bill growled something just then, but the only words Trot could make out were, never lived to tell the tale.|Captain Bill growled something just then, but the only words Trot could make out were, never lived to tell the tale.
the_sea_fairies_11_f000057|Oh, pshaw, Captain, she said.|Oh, pshaw, Captain, she said.
the_sea_fairies_11_f000058|We may be in danger, right enough, and to be honest, I don't like the looks of these sea devils at all.|We may be in danger, right enough, and to be honest, I don't like the looks of these sea devils at all.
the_sea_fairies_11_f000059|But I'm sure it's no KILLING matter, for we've got the fairy circles all around us.|But I'm sure it's no KILLING matter, for we've got the fairy circles all around us.
the_sea_fairies_11_f000060|Ha ha! laughed the monster beside her.|Ha ha! laughed the monster beside her.
the_sea_fairies_11_f000061|WE know all about the fairy circles, don't we, Migg?|WE know all about the fairy circles, don't we, Migg?
the_sea_fairies_11_f000062|Ho ho! laughed the monster on the other side.|Ho ho! laughed the monster on the other side.
the_sea_fairies_11_f000063|We do, Slibb, my boy, and we don't think much of fairy circles, either!|We do, Slibb, my boy, and we don't think much of fairy circles, either!
the_sea_fairies_11_f000064|They have foiled our enemies many a time, declared the Princess with much dignity.|They have foiled our enemies many a time, declared the Princess with much dignity.
the_sea_fairies_11_f000065|Ha ha! laughed one.|Ha ha! laughed one.
the_sea_fairies_11_f000066|That's why we're here now.|That's why we're here now.
the_sea_fairies_11_f000067|Ho ho! laughed the other.|Ho ho! laughed the other.
the_sea_fairies_11_f000068|We've learned a trick or two, and we've got you fast this time.|We've learned a trick or two, and we've got you fast this time.
the_sea_fairies_11_f000069|Then all the sea devilsthose above and the one behind, and the two on the sideslaughed all together, and their laughter was so horrible that it made even Trot shudder.|Then all the sea devilsthose above and the one behind, and the two on the sideslaughed all together, and their laughter was so horrible that it made even Trot shudder.
the_sea_fairies_11_f000070|But now the queen stopped short, and the others stopped with her.|But now the queen stopped short, and the others stopped with her.
the_sea_fairies_11_f000071|I will go no farther, she said firmly, not caring if the monsters overheard her.|I will go no farther, she said firmly, not caring if the monsters overheard her.
the_sea_fairies_11_f000072|It is evident that these monsters are trying to drive us into some secret place, and it is well known that they are in league with Zog the Terrible,|It is evident that these monsters are trying to drive us into some secret place, and it is well known that they are in league with Zog the Terrible,
the_sea_fairies_11_f000073|whom they serve because they are as wicked as he is.|whom they serve because they are as wicked as he is.
the_sea_fairies_11_f000074|We must be somewhere near the hidden castle of Zog, so I prefer to stay here rather than be driven into some place far more dangerous.|We must be somewhere near the hidden castle of Zog, so I prefer to stay here rather than be driven into some place far more dangerous.
the_sea_fairies_11_f000075|As for the sea devils, they are powerless to injure us in any way.|As for the sea devils, they are powerless to injure us in any way.
the_sea_fairies_11_f000076|Not one of those thousand arms about us can possibly touch our bodies.|Not one of those thousand arms about us can possibly touch our bodies.
the_sea_fairies_11_f000077|The only reply to this defiant speech was another burst of horrible laughter; and now there suddenly appeared before them still another of the monsters,|The only reply to this defiant speech was another burst of horrible laughter; and now there suddenly appeared before them still another of the monsters,
the_sea_fairies_11_f000078|which thus completely hemmed them in.|which thus completely hemmed them in.
the_sea_fairies_11_f000079|Then the creatures began interlacing their long armsor feelersuntil they formed a perfect cage around the prisoners, not an opening being left that was large enough for one of them to escape through.|Then the creatures began interlacing their long armsor feelersuntil they formed a perfect cage around the prisoners, not an opening being left that was large enough for one of them to escape through.
the_sea_fairies_11_f000080|The mermaids and the girl and sailor man kept huddled close together, for although they might be walled in by the sea devils, their captors could not touch them because of the protecting magic circles.|The mermaids and the girl and sailor man kept huddled close together, for although they might be walled in by the sea devils, their captors could not touch them because of the protecting magic circles.
the_sea_fairies_11_f000081|All at once Trot exclaimed, Why, we must be moving!|All at once Trot exclaimed, Why, we must be moving!
the_sea_fairies_11_f000082|This was startling news, but by watching the flow of water past them they saw that the little girl was right.|This was startling news, but by watching the flow of water past them they saw that the little girl was right.
the_sea_fairies_11_f000083|The sea devils were swimming, all together, and as the cage they were in moved forward, our friends were carried with it.|The sea devils were swimming, all together, and as the cage they were in moved forward, our friends were carried with it.
the_sea_fairies_11_f000084|Queen Aquareine had a stern look upon her beautiful face.|Queen Aquareine had a stern look upon her beautiful face.
the_sea_fairies_11_f000085|Captain Bill guessed from this look that the mermaid was angry, for it seemed much like the look Trot's mother wore when they came home late to dinner.|Captain Bill guessed from this look that the mermaid was angry, for it seemed much like the look Trot's mother wore when they came home late to dinner.
the_sea_fairies_11_f000086|But however angry the queen might be, she was unable to help herself or her guests just now or to escape from the guidance of the dreaded sea devils.|But however angry the queen might be, she was unable to help herself or her guests just now or to escape from the guidance of the dreaded sea devils.
the_sea_fairies_11_f000087|The rest of the party had become sober and thoughtful, and in dignified silence they awaited the outcome of this strange adventure.|The rest of the party had become sober and thoughtful, and in dignified silence they awaited the outcome of this strange adventure.
the_sea_fairies_12_f000001|CHAPTER 12 THE ENCHANTED ISLAND.|CHAPTER twelve THE ENCHANTED ISLAND.
the_sea_fairies_12_f000002|All at once it grew dark around them.|All at once it grew dark around them.
the_sea_fairies_12_f000003|Neither Captain Bill nor Trot liked this gloom, for it made them nervous not to be able to see their enemies.|Neither Captain Bill nor Trot liked this gloom, for it made them nervous not to be able to see their enemies.
the_sea_fairies_12_f000004|We must be near a sea cavern, if not within one, whispered Princess Clia, and even as she spoke the network of scarlet arms parted before them,|We must be near a sea cavern, if not within one, whispered Princess Clia, and even as she spoke the network of scarlet arms parted before them,
the_sea_fairies_12_f000005|leaving an avenue for them to swim out of the cage.|leaving an avenue for them to swim out of the cage.
the_sea_fairies_12_f000006|There was brighter water ahead, too, so the queen said without hesitation: Come along, dear friends; but let us clasp hands and keep close together.|There was brighter water ahead, too, so the queen said without hesitation: Come along, dear friends; but let us clasp hands and keep close together.
the_sea_fairies_12_f000007|They obeyed her commands and swam swiftly out of their prison and into the clear water before them, glad to put a distance between themselves and the loathesome sea devils.|They obeyed her commands and swam swiftly out of their prison and into the clear water before them, glad to put a distance between themselves and the loathesome sea devils.
the_sea_fairies_12_f000008|The monsters made no attempt to follow them, but they burst into a chorus of harsh laughter which warned our friends that they had not yet accomplished their escape.|The monsters made no attempt to follow them, but they burst into a chorus of harsh laughter which warned our friends that they had not yet accomplished their escape.
the_sea_fairies_12_f000009|The four now found themselves in a broad, rocky passage, which was dimly lighted from some unknown source.|The four now found themselves in a broad, rocky passage, which was dimly lighted from some unknown source.
the_sea_fairies_12_f000010|The walls overhead, below them and at the sides all glistened as if made of silver, and in places were set small statues of birds, beasts and fishes,|The walls overhead, below them and at the sides all glistened as if made of silver, and in places were set small statues of birds, beasts and fishes,
the_sea_fairies_12_f000011|occupying niches in the walls and seemingly made from the same glistening material.|occupying niches in the walls and seemingly made from the same glistening material.
the_sea_fairies_12_f000012|The queen swam more slowly now that the sea devils had been left behind, and she looked exceedingly grave and thoughtful.|The queen swam more slowly now that the sea devils had been left behind, and she looked exceedingly grave and thoughtful.
the_sea_fairies_12_f000013|Have you ever been here before? asked Trot.|Have you ever been here before? asked Trot.
the_sea_fairies_12_f000014|No, dear, said the Queen with a sigh.|No, dear, said the Queen with a sigh.
the_sea_fairies_12_f000015|And do you know where we are?|And do you know where we are?
the_sea_fairies_12_f000016|continued the girl.|continued the girl.
the_sea_fairies_12_f000017|I can guess, replied Aquareine.|I can guess, replied Aquareine.
the_sea_fairies_12_f000018|There is only one place in all the sea where such a passage as that we are in could exist without my knowledge, and that is in the hidden dominions of Zog.|There is only one place in all the sea where such a passage as that we are in could exist without my knowledge, and that is in the hidden dominions of Zog.
the_sea_fairies_12_f000019|If we are indeed in the power of that fearful magician, we must summon all our courage to resist him, or we are lost!|If we are indeed in the power of that fearful magician, we must summon all our courage to resist him, or we are lost!
the_sea_fairies_12_f000020|Is Zog more powerful than the mermaids? asked Trot anxiously.|Is Zog more powerful than the mermaids? asked Trot anxiously.
the_sea_fairies_12_f000021|I do not know, for we have never before met to measure our strength, answered Aquareine.|I do not know, for we have never before met to measure our strength, answered Aquareine.
the_sea_fairies_12_f000022|But if King Anko could defeat the magician, as he surely did, then I think I shall be able to do so.|But if King Anko could defeat the magician, as he surely did, then I think I shall be able to do so.
the_sea_fairies_12_f000023|I wish I was sure of it, muttered Captain Bill.|I wish I was sure of it, muttered Captain Bill.
the_sea_fairies_12_f000024|Absolute silence reigned in the silver passage.|Absolute silence reigned in the silver passage.
the_sea_fairies_12_f000025|No fish were there; not even a sea flower grew to relieve the stern grandeur of this vast corridor.|No fish were there; not even a sea flower grew to relieve the stern grandeur of this vast corridor.
the_sea_fairies_12_f000026|Trot began to be impressed with the fact that she was a good way from her home and mother, and she wondered if she would ever get back again to the white cottage on the cliff.|Trot began to be impressed with the fact that she was a good way from her home and mother, and she wondered if she would ever get back again to the white cottage on the cliff.
the_sea_fairies_12_f000027|Here she was, at the bottom of the great ocean, swimming through a big tunnel that had an enchanted castle at the end, and a group of horrible sea devils at the other!|Here she was, at the bottom of the great ocean, swimming through a big tunnel that had an enchanted castle at the end, and a group of horrible sea devils at the other!
the_sea_fairies_12_f000028|In spite of this thought, she was not very much afraid.|In spite of this thought, she was not very much afraid.
the_sea_fairies_12_f000029|Although two fairy mermaids were her companions, she relied, strange to say, more upon her tried and true friend, Captain Bill,|Although two fairy mermaids were her companions, she relied, strange to say, more upon her tried and true friend, Captain Bill,
the_sea_fairies_12_f000030|than upon her newer acquaintances to see her safely out of her present trouble.|than upon her newer acquaintances to see her safely out of her present trouble.
the_sea_fairies_12_f000031|Captain Bill himself did not feel very confident.|Captain Bill himself did not feel very confident.
the_sea_fairies_12_f000032|I don't care two cents what becomes o' me, he told Princess Clia in a low voice, but I'm drea'ful worried over our Trot.|I don't care two cents what becomes o' me, he told Princess Clia in a low voice, but I'm drea'ful worried over our Trot.
the_sea_fairies_12_f000033|She's too sweet and young to be made an end of in this 'ere fashion.|She's too sweet and young to be made an end of in this 'ere fashion.
the_sea_fairies_12_f000034|Clia smiled at this speech.|Clia smiled at this speech.
the_sea_fairies_12_f000035|I'm sure you will find the little girl's end a good way off, she replied.|I'm sure you will find the little girl's end a good way off, she replied.
the_sea_fairies_12_f000036|Trust to our powerful queen, and be sure she will find some means for us all to escape uninjured.|Trust to our powerful queen, and be sure she will find some means for us all to escape uninjured.
the_sea_fairies_12_f000037|The light grew brighter as they advanced, until finally they perceived a magnificent archway just ahead of them.|The light grew brighter as they advanced, until finally they perceived a magnificent archway just ahead of them.
the_sea_fairies_12_f000038|Aquareine hesitated a moment whether to go on or turn back, but there was no escaping the sea devils behind them,|Aquareine hesitated a moment whether to go on or turn back, but there was no escaping the sea devils behind them,
the_sea_fairies_12_f000039|and she decided the best way out of their difficulties was to bravely face the unknown Zog and rely upon her fairy powers to prevent his doing any mischief to herself or her friends.|and she decided the best way out of their difficulties was to bravely face the unknown Zog and rely upon her fairy powers to prevent his doing any mischief to herself or her friends.
the_sea_fairies_12_f000040|So she led the way, and together they approached the archway and passed through it.|So she led the way, and together they approached the archway and passed through it.
the_sea_fairies_12_f000041|They now found themselves in a vast cavern, so great in extent that the dome overhead looked like the sky when seen from earth.|They now found themselves in a vast cavern, so great in extent that the dome overhead looked like the sky when seen from earth.
the_sea_fairies_12_f000042|In the center of this immense sea cavern rose the towers of a splendid castle, all built of coral inlaid with silver and having windows of clear glass.|In the center of this immense sea cavern rose the towers of a splendid castle, all built of coral inlaid with silver and having windows of clear glass.
the_sea_fairies_12_f000043|Surrounding the castle were beds of beautiful sea flowers, many being in full bloom, and these were laid out with great care in artistic designs.|Surrounding the castle were beds of beautiful sea flowers, many being in full bloom, and these were laid out with great care in artistic designs.
the_sea_fairies_12_f000044|Goldfish and silverfish darted here and there among the foliage, and the whole scene was so pretty and peaceful that Trot began to doubt there was any danger lurking in such a lovely place.|Goldfish and silverfish darted here and there among the foliage, and the whole scene was so pretty and peaceful that Trot began to doubt there was any danger lurking in such a lovely place.
the_sea_fairies_12_f000045|As they approached to look around them, a brilliantly colored gregfish approached and gazed at them curiously with his big, saucer-like eyes.|As they approached to look around them, a brilliantly colored gregfish approached and gazed at them curiously with his big, saucer-like eyes.
the_sea_fairies_12_f000046|So Zog has got you at last!|So Zog has got you at last!
the_sea_fairies_12_f000047|he said in a pitying tone.|he said in a pitying tone.
the_sea_fairies_12_f000048|How foolish you were to swim into that part of the sea where he is powerful.|How foolish you were to swim into that part of the sea where he is powerful.
the_sea_fairies_12_f000049|The sea devils made us, explained Clia.|The sea devils made us, explained Clia.
the_sea_fairies_12_f000050|Well, I'm sorry for you, I'm sure, remarked the Greg, and with a flash of his tail, he disappeared among the sea foliage.|Well, I'm sorry for you, I'm sure, remarked the Greg, and with a flash of his tail, he disappeared among the sea foliage.
the_sea_fairies_12_f000051|Let us go to the castle, said the Queen in a determined voice.|Let us go to the castle, said the Queen in a determined voice.
the_sea_fairies_12_f000052|We may as well boldly defy our fate as to wait until Zog seeks us out.|We may as well boldly defy our fate as to wait until Zog seeks us out.
the_sea_fairies_12_f000053|So they swam to the entrance of the castle.|So they swam to the entrance of the castle.
the_sea_fairies_12_f000054|The doors stood wide open, and the interior seemed as well lighted as the cavern itself, although none of them could discover from whence the light came.|The doors stood wide open, and the interior seemed as well lighted as the cavern itself, although none of them could discover from whence the light came.
the_sea_fairies_12_f000055|At each side of the entrance lay a fish such as they had never seen before.|At each side of the entrance lay a fish such as they had never seen before.
the_sea_fairies_12_f000056|It was flat as a doormat and seemed to cling fast to the coral floor.|It was flat as a doormat and seemed to cling fast to the coral floor.
the_sea_fairies_12_f000057|Upon its back were quills like those of a porcupine, all pointed and sharp.|Upon its back were quills like those of a porcupine, all pointed and sharp.
the_sea_fairies_12_f000058|From the center of the fish arose a head shaped like a round ball, with a circle of piercing, bead-like eyes set in it.|From the center of the fish arose a head shaped like a round ball, with a circle of piercing, bead-like eyes set in it.
