poisoned_pen_01_f000001|THE POISONED PEN.|THE POISONED PEN.
poisoned_pen_07_f000336|That night Kennedy, with the assistance of First Deputy O'Connor, who was not averse to taking any action within the law toward the soothsayers,|That night Kennedy, with the assistance of First Deputy O'Connor, who was not averse to taking any action within the law toward the soothsayers,
poisoned_pen_07_f000337|assembled a curiously cosmopolitan crowd in his laboratory.|assembled a curiously cosmopolitan crowd in his laboratory.
poisoned_pen_07_f000338|Besides the Gilberts were Dudley Lawton and his father, Hata, the Pandit, the Swami, and the Guru - the latter four persons in high dudgeon at being deprived of the lucrative profits of a Sunday night.|Besides the Gilberts were Dudley Lawton and his father, Hata, the Pandit, the Swami, and the Guru - the latter four persons in high dudgeon at being deprived of the lucrative profits of a Sunday night.
poisoned_pen_07_f000339|Kennedy began slowly) leading gradually up to his point: A new means of bringing criminals to justice has been lately studied by one of the greatest scientific detectives of crime in the world,|Kennedy began slowly leading gradually up to his point: A new means of bringing criminals to justice has been lately studied by one of the greatest scientific detectives of crime in the world,
poisoned_pen_07_f000340|the man to whom we are indebted for our most complete systems of identification and apprehension. Craig paused and fingered the microscope before him thoughtfully.|the man to whom we are indebted for our most complete systems of identification and apprehension. Craig paused and fingered the microscope before him thoughtfully.
poisoned_pen_07_f000341|Human hair, he resumed, has recently been the study of that untiring criminal scientist, M. Bertillon. He has drawn up a full, classified, and graduated table of all the known colours of the human hair,|Human hair, he resumed, has recently been the study of that untiring criminal scientist, M. Bertillon. He has drawn up a full, classified, and graduated table of all the known colours of the human hair,
poisoned_pen_07_f000342|a complete palette, so to speak, of samples gathered in every quarter of the globe. Henceforth burglars, who already wear gloves or paint their fingers with a rubber composition for fear of leaving finger-prints,|a complete palette, so to speak, of samples gathered in every quarter of the globe. Henceforth burglars, who already wear gloves or paint their fingers with a rubber composition for fear of leaving finger-prints,
poisoned_pen_07_f000343|will have to wear close-fitting caps or keep their heads shaved.|will have to wear close-fitting caps or keep their heads shaved.
poisoned_pen_07_f000344|Thus he has hit upon a new method of identification of those sought by the police. For instance, from time to time the question arises whether hair is human or animal.|Thus he has hit upon a new method of identification of those sought by the police. For instance, from time to time the question arises whether hair is human or animal.
poisoned_pen_07_f000345|In such cases the microscope tells the answer truthfully.|In such cases the microscope tells the answer truthfully.
poisoned_pen_07_f000346|For a long time I have been studying hair, taking advantage of those excellent researches by M. Bertillon. Human hair is fairly uniform, tapering gradually.|For a long time I have been studying hair, taking advantage of those excellent researches by M. Bertillon. Human hair is fairly uniform, tapering gradually.
poisoned_pen_07_f000347|Under the microscope it is practically always possible to distinguish human hair from animal. I shall not go into the distinctions, but I may add that it is also possible to determine very quickly the difference between all hair,|Under the microscope it is practically always possible to distinguish human hair from animal. I shall not go into the distinctions, but I may add that it is also possible to determine very quickly the difference between all hair,
poisoned_pen_07_f000348|human or animal, and cotton with its corkscrew-like twists, linen with its jointed structure, and silk, which is long, smooth, and cylindrical.|human or animal, and cotton with its corkscrew-like twists, linen with its jointed structure, and silk, which is long, smooth, and cylindrical.
poisoned_pen_07_f000349|Again Kennedy paused as if to emphasise this preface. I have here, he continued, a sample of hair. He had picked up a microscope slide that was lying on the table.|Again Kennedy paused as if to emphasise this preface. I have here, he continued, a sample of hair. He had picked up a microscope slide that was lying on the table.
poisoned_pen_07_f000350|It certainly did not look very thrilling - a mere piece of glass, that was all. But on the glass was what appeared to be merely a faint line.|It certainly did not look very thrilling - a mere piece of glass, that was all. But on the glass was what appeared to be merely a faint line.
poisoned_pen_07_f000351|This slide, he said, holding it up, has what must prove an unescapable clue to the identity of the man responsible for the disappearance of Miss Gilbert.|This slide, he said, holding it up, has what must prove an unescapable clue to the identity of the man responsible for the disappearance of Miss Gilbert.
poisoned_pen_07_f000352|I shall not tell you yet who he is, for the simple reason that, though I could make a shrewd guess, I do not yet know what the verdict of science is,|I shall not tell you yet who he is, for the simple reason that, though I could make a shrewd guess, I do not yet know what the verdict of science is,
poisoned_pen_07_f000353|and in science we do not guess where we can prove.|and in science we do not guess where we can prove.
poisoned_pen_07_f000354|You will undoubtedly remember that when Miss Gilbert's body was discovered, it bore no evidence of suicide, but on the contrary the marks of violence.|You will undoubtedly remember that when Miss Gilbert's body was discovered, it bore no evidence of suicide, but on the contrary the marks of violence.
poisoned_pen_07_f000355|Her fists were clenched, as if she had struggled with all her power against a force that had been too much for her.|Her fists were clenched, as if she had struggled with all her power against a force that had been too much for her.
poisoned_pen_07_f000356|I examined her hands, expecting to find some evidence of a weapon she had used to defend herself. Instead, I found what was more valuable.|I examined her hands, expecting to find some evidence of a weapon she had used to defend herself. Instead, I found what was more valuable.
poisoned_pen_07_f000357|Here on this slide are several hairs that I found tightly grasped in her rigid hands.|Here on this slide are several hairs that I found tightly grasped in her rigid hands.
poisoned_pen_07_f000358|I could not help recalling Kennedy's remark earlier in the case - that=20it hung on slender threads. Yet how strong might not those threads prove!|I could not help recalling Kennedy's remark earlier in the case - thattwentyit hung on slender threads. Yet how strong might not those threads prove!
poisoned_pen_07_f000359|There was also in her pocketbook a newspaper clipping bearing the advertisements of several clairvoyants, he went on. mister Jameson and myself had already discovered what the police had failed to find,|There was also in her pocketbook a newspaper clipping bearing the advertisements of several clairvoyants, he went on. mister Jameson and myself had already discovered what the police had failed to find,
poisoned_pen_07_f000360|that on the morning of the day on which she disappeared Miss Gilbert had made three distinct efforts, probably, to secure books on clairvoyance.|that on the morning of the day on which she disappeared Miss Gilbert had made three distinct efforts, probably, to secure books on clairvoyance.
poisoned_pen_07_f000361|Accordingly, mister Jameson and myself have visited several of the fortune-tellers and practitioners of the occult sciences in which we had reason to believe Miss Gilbert was interested.|Accordingly, mister Jameson and myself have visited several of the fortune-tellers and practitioners of the occult sciences in which we had reason to believe Miss Gilbert was interested.
poisoned_pen_07_f000362|They all, by the way, make a specialty of giving advice in money matters and solving the problems of lovers. I suspect that at times mister Jameson has thought that I was demented,|They all, by the way, make a specialty of giving advice in money matters and solving the problems of lovers. I suspect that at times mister Jameson has thought that I was demented,
poisoned_pen_07_f000363|but I had to resort to many and various expedients to collect the specimens of hair which I wanted.|but I had to resort to many and various expedients to collect the specimens of hair which I wanted.
poisoned_pen_07_f000364|From the police, who used mister Lawton's valet, I received some hair from his head. Here is another specimen from each of the advertisers, Hata,|From the police, who used mister Lawton's valet, I received some hair from his head. Here is another specimen from each of the advertisers, Hata,
poisoned_pen_07_f000365|the Swami, the Pandit, and the Guru.|the Swami, the Pandit, and the Guru.
poisoned_pen_07_f000366|There is just one of these specimens which corresponds in every particular of colour, thickness, and texture with the hair found so tightly grasped in Miss Gilbert's hand.|There is just one of these specimens which corresponds in every particular of colour, thickness, and texture with the hair found so tightly grasped in Miss Gilbert's hand.
poisoned_pen_07_f000367|As Craig said this I could feel a sort of gasp of astonishment from our little audience. Still he was not quite ready to make his disclosure.|As Craig said this I could feel a sort of gasp of astonishment from our little audience. Still he was not quite ready to make his disclosure.
poisoned_pen_07_f000368|Lest I should be prejudiced, he pursued evenly, by my own rather strong convictions, and in order that I might examine the samples without fear or favour,|Lest I should be prejudiced, he pursued evenly, by my own rather strong convictions, and in order that I might examine the samples without fear or favour,
poisoned_pen_07_f000369|I had one of my students at the laboratory take the marked hairs, mount them, number them, and put in numbered envelopes the names of the persons who furnished them.|I had one of my students at the laboratory take the marked hairs, mount them, number them, and put in numbered envelopes the names of the persons who furnished them.
poisoned_pen_07_f000370|But before I open the envelope numbered the same as the slide which contains the hair which corresponds precisely with that hair found in Miss Gilbert's hand - and it is slide No.|But before I open the envelope numbered the same as the slide which contains the hair which corresponds precisely with that hair found in Miss Gilbert's hand - and it is slide No.
poisoned_pen_07_f000371|2 - said Kennedy, picking out the slide with his finger and moving it on the table with as much coolness as if he were moving a chessman on a board instead of playing in the terrible game of human life,|two - said Kennedy, picking out the slide with his finger and moving it on the table with as much coolness as if he were moving a chessman on a board instead of playing in the terrible game of human life,
poisoned_pen_07_f000372|before I read the name I have still one more damning fact to disclose.|before I read the name I have still one more damning fact to disclose.
poisoned_pen_07_f000373|Craig now had us on edge with excitement, a situation which I sometimes thought he enjoyed more keenly than any other in his relentless tracing down of a criminal.|Craig now had us on edge with excitement, a situation which I sometimes thought he enjoyed more keenly than any other in his relentless tracing down of a criminal.
poisoned_pen_07_f000374|What was it that caused Miss Gilbert's death? asked Kennedy. The coroner's physician did not seem to be thoroughly satisfied with the theory of physical violence alone.|What was it that caused Miss Gilbert's death? asked Kennedy. The coroner's physician did not seem to be thoroughly satisfied with the theory of physical violence alone.
poisoned_pen_07_f000375|Nor did I. Some one, I believe, exerted a peculiar force in order to get her into his power. What was that force? At first I thought it might have been the hackneyed knock-out drops,|Nor did I. Some one, I believe, exerted a peculiar force in order to get her into his power. What was that force? At first I thought it might have been the hackneyed knock-out drops,
poisoned_pen_07_f000376|but tests by the coroner's physician eliminated that.|but tests by the coroner's physician eliminated that.
poisoned_pen_07_f000377|Then I thought it might be one of the alkaloids, such as morphine, cocaine, and others. But it was not any of the usual things that was used to entice her away from her family and friends.|Then I thought it might be one of the alkaloids, such as morphine, cocaine, and others. But it was not any of the usual things that was used to entice her away from her family and friends.
poisoned_pen_07_f000378|>From tests that I have, made I have discovered the one fact necessary to complete my case, the drug used to lure her and against which she fought in deadly struggle.|From tests that I have, made I have discovered the one fact necessary to complete my case, the drug used to lure her and against which she fought in deadly struggle.
poisoned_pen_07_f000379|He placed a test tube in a rack before us. This tube, he continued, contains one of the most singular and, among us, least known of the five common narcotics of the world - tobacco,|He placed a test tube in a rack before us. This tube, he continued, contains one of the most singular and, among us, least known of the five common narcotics of the world - tobacco,
poisoned_pen_07_f000380|opium, coca, betel nut, and hemp.|opium, coca, betel nut, and hemp.
poisoned_pen_07_f000381|It can be smoked, chewed, used as a drink, or taken as a confection. In the form of a powder it is used by the narghile smoker.|It can be smoked, chewed, used as a drink, or taken as a confection. In the form of a powder it is used by the narghile smoker.
poisoned_pen_07_f000382|As a liquid it can be taken as an oily fluid or in alcohol. Taken in any of these forms, it literally makes the nerves walk, dance, and run.|As a liquid it can be taken as an oily fluid or in alcohol. Taken in any of these forms, it literally makes the nerves walk, dance, and run.
poisoned_pen_07_f000383|It heightens the feelings and sensibilities to distraction, producing what is really hysteria.|It heightens the feelings and sensibilities to distraction, producing what is really hysteria.
poisoned_pen_07_f000384|If the weather is clear, this drug will make life gorgeous; if it rains, tragic. Slight vexation becomes deadly revenge; courage becomes rashness;|If the weather is clear, this drug will make life gorgeous; if it rains, tragic. Slight vexation becomes deadly revenge; courage becomes rashness;
poisoned_pen_07_f000385|fear, abject terror; and gentle affection or even a passing liking is transformed into passionate love.|fear, abject terror; and gentle affection or even a passing liking is transformed into passionate love.
poisoned_pen_07_f000386|It is the drug derived from the Indian hemp, scientifically named Cannabis Indica, better known as hashish, or bhang, or a dozen other names in the East.|It is the drug derived from the Indian hemp, scientifically named Cannabis Indica, better known as hashish, or bhang, or a dozen other names in the East.
poisoned_pen_07_f000387|Its chief characteristic is that it has a profound effect on the passions. Thus, under its influence, natives of the East become greatly exhilarated,|Its chief characteristic is that it has a profound effect on the passions. Thus, under its influence, natives of the East become greatly exhilarated,
poisoned_pen_07_f000388|then debased, and finally violent, rushing forth on the streets with the cry, Amok, amok, - Kill, kill - as we say, running amuck.|then debased, and finally violent, rushing forth on the streets with the cry, Amok, amok, - Kill, kill - as we say, running amuck.
poisoned_pen_07_f000389|An overdose of this drug often causes insanity, while in small quantities our doctors use it as a medicine.|An overdose of this drug often causes insanity, while in small quantities our doctors use it as a medicine.
poisoned_pen_07_f000390|Any one who has read the brilliant Theophile Gautier's Club des Hachichens or Bayard Taylor's experience at Damascus knows something of the effect of hashish, however.|Any one who has read the brilliant Theophile Gautier's Club des Hachichens or Bayard Taylor's experience at Damascus knows something of the effect of hashish, however.
poisoned_pen_07_f000391|In reconstructing the story of Georgette Gilbert, as best I can, I believe that she was lured to the den of one of the numerous cults practised in New York,|In reconstructing the story of Georgette Gilbert, as best I can, I believe that she was lured to the den of one of the numerous cults practised in New York,
poisoned_pen_07_f000392|lured by advertisements offering advice in hidden love affairs.|lured by advertisements offering advice in hidden love affairs.
poisoned_pen_07_f000393|Led on by her love for a man whom she could not and would not put out of her life, and by her affection for her parents, she was frantic.|Led on by her love for a man whom she could not and would not put out of her life, and by her affection for her parents, she was frantic.
poisoned_pen_07_f000394|This place offered hope, and to it she went in all innocence, not knowing that it was only the open door to a life such as the most lurid disorderly resorts of the metropolis could scarcely match.|This place offered hope, and to it she went in all innocence, not knowing that it was only the open door to a life such as the most lurid disorderly resorts of the metropolis could scarcely match.
poisoned_pen_07_f000395|There her credulity was preyed upon, and she was tricked into taking this drug, which itself has such marked and perverting effect.|There her credulity was preyed upon, and she was tricked into taking this drug, which itself has such marked and perverting effect.
poisoned_pen_07_f000396|But, though she must have been given a great deal of the drug, she did not yield, as many of the sophisticated do. She struggled frantically, futilely.|But, though she must have been given a great deal of the drug, she did not yield, as many of the sophisticated do. She struggled frantically, futilely.
poisoned_pen_07_f000397|Will and reason were not conquered, though they sat unsteadily on their thrones. The wisp of hair so tightly clasped in her dead hand shows that she fought bitterly to the end.|Will and reason were not conquered, though they sat unsteadily on their thrones. The wisp of hair so tightly clasped in her dead hand shows that she fought bitterly to the end.
poisoned_pen_07_f000398|Kennedy was leaning forward earnestly, glaring at each of us in turn.|Kennedy was leaning forward earnestly, glaring at each of us in turn.
poisoned_pen_07_f000399|Lawton was twisting uneasily in his chair, and I could see that his fists were doubled up and that he was holding himself in leash as if waiting for something, eyeing us all keenly.|Lawton was twisting uneasily in his chair, and I could see that his fists were doubled up and that he was holding himself in leash as if waiting for something, eyeing us all keenly.
poisoned_pen_07_f000400|The Swami was seized with a violent fit of trembling, and the other fakirs were staring in amazement.|The Swami was seized with a violent fit of trembling, and the other fakirs were staring in amazement.
poisoned_pen_07_f000401|Quickly I stepped between Dudley Lawton and Kennedy, but as I did so, he leaped behind me, and before I could turn he was grappling wildly with some one on the floor.|Quickly I stepped between Dudley Lawton and Kennedy, but as I did so, he leaped behind me, and before I could turn he was grappling wildly with some one on the floor.
poisoned_pen_07_f000402|It's all right, Walter, cried Kennedy, tearing open the envelope on the table. Lawton has guessed right. The hair was the Swami's.|It's all right, Walter, cried Kennedy, tearing open the envelope on the table. Lawton has guessed right. The hair was the Swami's.
poisoned_pen_07_f000403|Georgette Gilbert was one victim who fought and rescued herself from a slavery worse than death. And there is one mystic who could not foresee arrest and the death house at Sing Sing in his horoscope.|Georgette Gilbert was one victim who fought and rescued herself from a slavery worse than death. And there is one mystic who could not foresee arrest and the death house at Sing Sing in his horoscope.
poisoned_pen_08_f000001|THE FORGER.|THE FORGER.
poisoned_pen_08_f000002|We were lunching with Stevenson Williams, a friend of Kennedy's, at the Insurance Club, one of the many new downtown luncheon clubs, where the noon hour is so conveniently combined with business.|We were lunching with Stevenson Williams, a friend of Kennedy's, at the Insurance Club, one of the many new downtown luncheon clubs, where the noon hour is so conveniently combined with business.
poisoned_pen_08_f000003|There isn't much that you can't insure against nowadays, remarked Williams when the luncheon had progressed far enough to warrant a tentative reference to the obvious fact that he had had a purpose in inviting us to the club.|There isn't much that you can't insure against nowadays, remarked Williams when the luncheon had progressed far enough to warrant a tentative reference to the obvious fact that he had had a purpose in inviting us to the club.
poisoned_pen_08_f000004|Take my own company, for example, the Continental Surety. We have lately undertaken to write forgery insurance.|Take my own company, for example, the Continental Surety. We have lately undertaken to write forgery insurance.
poisoned_pen_08_f000005|Forgery insurance? repeated Kennedy. Well, I should think you'd be doing a ripping business - putting up the premium rate about every day in this epidemic of forgery that seems to be sweeping over the country.|Forgery insurance? repeated Kennedy. Well, I should think you'd be doing a ripping business - putting up the premium rate about every day in this epidemic of forgery that seems to be sweeping over the country.
poisoned_pen_08_f000006|Williams, who was one of the officers of the company, smiled somewhat wearily, I thought. We are, he replied drily. That was precisely what I wanted to see you about.|Williams, who was one of the officers of the company, smiled somewhat wearily, I thought. We are, he replied drily. That was precisely what I wanted to see you about.
poisoned_pen_08_f000007|What? The premiums or the epidemic?|What? The premiums or the epidemic?
poisoned_pen_08_f000008|Well - er - both, perhaps. I needn't say much about the epidemic, as you call it. To you I can admit it; to the newspapers, never.|Well - er - both, perhaps. I needn't say much about the epidemic, as you call it. To you I can admit it; to the newspapers, never.
poisoned_pen_08_f000009|Still, I suppose you know that it is variously estimated that the forgers of the country are getting away with from ten to fifteen million dollars a year.|Still, I suppose you know that it is variously estimated that the forgers of the country are getting away with from ten to fifteen million dollars a year.
poisoned_pen_08_f000010|It is just one case that I was thinking about - one on which the regular detective agencies we employ seem to have failed utterly so far.|It is just one case that I was thinking about - one on which the regular detective agencies we employ seem to have failed utterly so far.
poisoned_pen_08_f000011|It involves pretty nearly one of those fifteen millions.|It involves pretty nearly one of those fifteen millions.
poisoned_pen_08_f000012|What? One case? A million dollars? gasped Kennedy, gazing fixedly at Williams as if he found it difficult to believe.|What? One case? A million dollars? gasped Kennedy, gazing fixedly at Williams as if he found it difficult to believe.
poisoned_pen_08_f000013|Exactly, replied Williams imperturbably, though it was not done all at one fell swoop, of course, but gradually, covering a period of some months.|Exactly, replied Williams imperturbably, though it was not done all at one fell swoop, of course, but gradually, covering a period of some months.
poisoned_pen_08_f000014|You have doubtless heard of the By-Products Company of Chicago?|You have doubtless heard of the By-Products Company of Chicago?
poisoned_pen_08_f000015|Craig nodded.|Craig nodded.
poisoned_pen_08_f000016|Well, it is their case, pursued Williams, losing his quiet manner and now hurrying ahead almost breathlessly. You know they own a bank out there also,|Well, it is their case, pursued Williams, losing his quiet manner and now hurrying ahead almost breathlessly. You know they own a bank out there also,
poisoned_pen_08_f000017|called the By-Products Bank.|called the By-Products Bank.
poisoned_pen_08_f000018|That's how we come to figure in the case, by having insured their bank against forgery. Of course our liability runs up only to fifty tout hand dollars.|That's how we come to figure in the case, by having insured their bank against forgery. Of course our liability runs up only to fifty tout hand dollars.
poisoned_pen_08_f000019|But the loss to the company as well as to its bank through this affair will reach the figure I have named. They will have to stand the balance beyond our liability and,|But the loss to the company as well as to its bank through this affair will reach the figure I have named. They will have to stand the balance beyond our liability and,
poisoned_pen_08_f000020|well, fifty thousand is not a small sum for us to lose, either.|well, fifty thousand is not a small sum for us to lose, either.
poisoned_pen_08_f000021|We can't afford to lose it without a fight.|We can't afford to lose it without a fight.
poisoned_pen_08_f000022|Of course not. But you must have some suspicions, some clues. You must have taken some action in tracing the thing out, whatever is back of it.|Of course not. But you must have some suspicions, some clues. You must have taken some action in tracing the thing out, whatever is back of it.
poisoned_pen_08_f000023|Surely. For instance, only the other day we had the cashier of the bank, Bolton Brown, arrested, though he is out on bail now.|Surely. For instance, only the other day we had the cashier of the bank, Bolton Brown, arrested, though he is out on bail now.
poisoned_pen_08_f000024|We haven't anything directly against him, but he is suspected of complicity on the inside, and I may say that the thing is so gigantic that there must have been some one on the inside concerned with it.|We haven't anything directly against him, but he is suspected of complicity on the inside, and I may say that the thing is so gigantic that there must have been some one on the inside concerned with it.
poisoned_pen_08_f000025|Among other things we have found that Bolton Brown has been leading a rather fast life, quite unknown to his fellow-officials.|Among other things we have found that Bolton Brown has been leading a rather fast life, quite unknown to his fellow-officials.
poisoned_pen_08_f000026|We know that he has been speculating secretly in the wheat corner that went to pieces, but the most significant thing is that he has been altogether too intimate with an adventuress,|We know that he has been speculating secretly in the wheat corner that went to pieces, but the most significant thing is that he has been altogether too intimate with an adventuress,
poisoned_pen_08_f000027|Adele DeMott, who has had some success as a woman of high finance in various cities here and in Europe and even in South America.|Adele DeMott, who has had some success as a woman of high finance in various cities here and in Europe and even in South America.
poisoned_pen_08_f000028|It looks bad for him from the commonsense standpoint, though of course I'm not competent to speak of the legal side of the matter.|It looks bad for him from the commonsense standpoint, though of course I'm not competent to speak of the legal side of the matter.
poisoned_pen_08_f000029|But, at any rate, we know that the insider must have been some one pretty close to the head of the By-Products Company or the By-Products Bank.|But, at any rate, we know that the insider must have been some one pretty close to the head of the By-Products Company or the By-Products Bank.
poisoned_pen_08_f000030|What was the character of the forgeries? asked Kennedy.|What was the character of the forgeries? asked Kennedy.
poisoned_pen_08_f000031|They seem to have been of two kinds. As far as we are concerned it is the check forgeries only that interest the Surety Company.|They seem to have been of two kinds. As far as we are concerned it is the check forgeries only that interest the Surety Company.
poisoned_pen_08_f000032|For some time, apparently, checks have been coming into the bank for sums all the way from a hundred dollars to five thousand.|For some time, apparently, checks have been coming into the bank for sums all the way from a hundred dollars to five thousand.
poisoned_pen_08_f000033|They have been so well executed that some of them have been certified by the bank, all of them have been accepted when they came back from other banks,|They have been so well executed that some of them have been certified by the bank, all of them have been accepted when they came back from other banks,
poisoned_pen_08_f000034|and even the officers of the company don't seem to be able to pick any flaws in them except as to the payee and the amounts for which they were drawn.|and even the officers of the company don't seem to be able to pick any flaws in them except as to the payee and the amounts for which they were drawn.
poisoned_pen_08_f000035|They have the correct safety tint on the paper and are stamped with rubber stamps that are almost precisely like those used by the By-Products Company.|They have the correct safety tint on the paper and are stamped with rubber stamps that are almost precisely like those used by the By-Products Company.
poisoned_pen_08_f000036|You know that banking customs often make some kinds of fraud comparatively easy. For instance no bank will pay out a hundred dollars or often even a dollar without identification,|You know that banking customs often make some kinds of fraud comparatively easy. For instance no bank will pay out a hundred dollars or often even a dollar without identification,
poisoned_pen_08_f000037|but they will certify a check for almost any office boy who comes in with it.|but they will certify a check for almost any office boy who comes in with it.
poisoned_pen_08_f000038|The common method of forgers lately has been to take such a certified forged check, deposit it in another bank, then gradually withdraw it in a few days before there is time to discover the forgery.|The common method of forgers lately has been to take such a certified forged check, deposit it in another bank, then gradually withdraw it in a few days before there is time to discover the forgery.
poisoned_pen_08_f000039|In this case they must have had the additional advantage that the insider in the company or bank could give information and tip the forger off if the forgery happened to be discovered.|In this case they must have had the additional advantage that the insider in the company or bank could give information and tip the forger off if the forgery happened to be discovered.
poisoned_pen_08_f000040|Who is the treasurer of the company? asked Craig quickly.|Who is the treasurer of the company? asked Craig quickly.
poisoned_pen_08_f000041|John Carroll - merely a figurehead, I understand. He's in New York now, working with us, as I shall tell you presently. If there is any one else besides Brown in it,|John Carroll - merely a figurehead, I understand. He's in New York now, working with us, as I shall tell you presently. If there is any one else besides Brown in it,
poisoned_pen_08_f000042|it might be Michael Dawson, the nominal assistant but really the active treasurer.|it might be Michael Dawson, the nominal assistant but really the active treasurer.
poisoned_pen_08_f000043|There you have another man whom we suspect, and, strangely enough, can't find. Dawson was the assistant treasurer of the company, you understand, not of the bank.|There you have another man whom we suspect, and, strangely enough, can't find. Dawson was the assistant treasurer of the company, you understand, not of the bank.
poisoned_pen_08_f000044|You can't find him? Why? asked Kennedy, considerably puzzled.|You can't find him? Why? asked Kennedy, considerably puzzled.
poisoned_pen_08_f000045|No, we can't find him. He was married a few days ago, married a pretty prominent society girl in the city, Miss Sibyl Sanderson.|No, we can't find him. He was married a few days ago, married a pretty prominent society girl in the city, Miss Sibyl Sanderson.
poisoned_pen_08_f000046|It seems they kept the itinerary of their honeymoon secret, more as a joke on their friends than anything else, they said,|It seems they kept the itinerary of their honeymoon secret, more as a joke on their friends than anything else, they said,
poisoned_pen_08_f000047|for Miss Sanderson was a well-known beauty and the newspapers bothered the couple a good deal with publicity that was distasteful.|for Miss Sanderson was a well-known beauty and the newspapers bothered the couple a good deal with publicity that was distasteful.
poisoned_pen_08_f000048|At least that was his story. No one knows where they are or whether they'll ever turn up again.|At least that was his story. No one knows where they are or whether they'll ever turn up again.
poisoned_pen_08_f000049|You see, this getting married had something to do with the exposure in the first place. For the major part of the forgeries consists not so much in the checks,|You see, this getting married had something to do with the exposure in the first place. For the major part of the forgeries consists not so much in the checks,
poisoned_pen_08_f000050|which interest my company, but in fraudulently issued stock certificates of the By-Products Company.|which interest my company, but in fraudulently issued stock certificates of the By-Products Company.
poisoned_pen_08_f000051|About a million of the common stock was held as treasury stock - was never issued.|About a million of the common stock was held as treasury stock - was never issued.
poisoned_pen_08_f000052|Some one has issued a large amount of it, all properly signed and sealed. Whoever it was had a little office in Chicago from which the stock was sold quietly by a confederate,|Some one has issued a large amount of it, all properly signed and sealed. Whoever it was had a little office in Chicago from which the stock was sold quietly by a confederate,
poisoned_pen_08_f000053|probably a woman, for women seem to rope in the suckers best in these get-rich-quick schemes.|probably a woman, for women seem to rope in the suckers best in these get-rich-quick schemes.
poisoned_pen_08_f000054|And, well, if it was Dawson the honeymoon has given him a splendid chance to make his get-away, though it also resulted in the exposure of the forgeries.|And, well, if it was Dawson the honeymoon has given him a splendid chance to make his get-away, though it also resulted in the exposure of the forgeries.
poisoned_pen_08_f000055|Carroll had to take up more or less active duty, with the result that a new man unearthed the - but, say, are you really interested in this case?|Carroll had to take up more or less active duty, with the result that a new man unearthed the - but, say, are you really interested in this case?
poisoned_pen_08_f000056|Williams was leaning forward, looking anxiously at Kennedy and it would not have taken a clairvoyant to guess what answer he wanted to his abrupt question.|Williams was leaning forward, looking anxiously at Kennedy and it would not have taken a clairvoyant to guess what answer he wanted to his abrupt question.
poisoned_pen_08_f000057|Indeed I am, replied Craig, especially as there seems to be a doubt about the guilty person on the inside.|Indeed I am, replied Craig, especially as there seems to be a doubt about the guilty person on the inside.
poisoned_pen_08_f000058|There is doubt enough, all right, rejoined Williams, at least I think so, though our detectives in Chicago who have gone over the thing pretty thoroughly have been sure of fixing something on Bolton Brown, the cashier.|There is doubt enough, all right, rejoined Williams, at least I think so, though our detectives in Chicago who have gone over the thing pretty thoroughly have been sure of fixing something on Bolton Brown, the cashier.
poisoned_pen_08_f000059|You see the blank stock certificates were kept in the company's vault in the bank to which, of course, Brown had access. But then, as Carroll argues,|You see the blank stock certificates were kept in the company's vault in the bank to which, of course, Brown had access. But then, as Carroll argues,
poisoned_pen_08_f000060|Dawson had access to them, too, which is very true - more so for Dawson than for Brown, who was in the bank and not in the company.|Dawson had access to them, too, which is very true - more so for Dawson than for Brown, who was in the bank and not in the company.
poisoned_pen_08_f000061|I'm all at sea. Perhaps if you're interested you'd better see Carroll. He's here in the city and I'm sure I could get you a good fee out of the case if you cared to take it up.|I'm all at sea. Perhaps if you're interested you'd better see Carroll. He's here in the city and I'm sure I could get you a good fee out of the case if you cared to take it up.
poisoned_pen_08_f000062|Shall I see if I can get him on the wire?|Shall I see if I can get him on the wire?
poisoned_pen_08_f000063|We had finished luncheon and, as Craig nodded, Williams dived into a telephone booth outside the dining-room and in a few moments emerged, perspiring from the closeness.|We had finished luncheon and, as Craig nodded, Williams dived into a telephone booth outside the dining-room and in a few moments emerged, perspiring from the closeness.
poisoned_pen_08_f000064|He announced that Carroll requested that we call on him at an office in Wall Street, a few blocks away, where he made his headquarters when he was in New York.|He announced that Carroll requested that we call on him at an office in Wall Street, a few blocks away, where he made his headquarters when he was in New York.
poisoned_pen_08_f000065|The whole thing was done with such despatch that I could not help feeling that Carroll had been waiting to hear from his friend in the insurance company.|The whole thing was done with such despatch that I could not help feeling that Carroll had been waiting to hear from his friend in the insurance company.
poisoned_pen_08_f000066|The look of relief on Williams's face when Kennedy said he would go immediately showed plainly that the insurance man considered the cost of the luncheon,|The look of relief on Williams's face when Kennedy said he would go immediately showed plainly that the insurance man considered the cost of the luncheon,
poisoned_pen_08_f000067|which had been no slight affair, in the light of a good investment in the interest of his company, which was in bad for the largest forgery insurance loss since they had begun to write that sort of business.|which had been no slight affair, in the light of a good investment in the interest of his company, which was in bad for the largest forgery insurance loss since they had begun to write that sort of business.
poisoned_pen_08_f000068|As we hurried down to Wall Street, Kennedy took occasion to remark, Science seems to have safe-guarded banks and other institutions pretty well against outside robbery.|As we hurried down to Wall Street, Kennedy took occasion to remark, Science seems to have safe-guarded banks and other institutions pretty well against outside robbery.
