silent_bullet_01_f000001|CRAIG KENNEDY’S THEORIES.|CRAIG KENNEDYS THEORIES.
silent_bullet_07_f000283|Let me see the palms of your hands.|Let me see the palms of your hands.
silent_bullet_07_f000284|Poissan shot an angry glance at Kennedy, but he did not open his hands.|Poissan shot an angry glance at Kennedy, but he did not open his hands.
silent_bullet_07_f000285|I merely wish to convince you, mister Spencer, said Kennedy to me, that it is no sleight-of-hand trick and that the professor has not several uncut stones palmed in his hand like a prestidigitator.|I merely wish to convince you, mister Spencer, said Kennedy to me, that it is no sleight-of-hand trick and that the professor has not several uncut stones palmed in his hand like a prestidigitator.
silent_bullet_07_f000286|The Frenchman faced us, his face livid with rage. You call me a prestidigitator, a fraud - you shall suffer for that! Sacrebleu! Ventre du Saint Gris!|The Frenchman faced us, his face livid with rage. You call me a prestidigitator, a fraud - you shall suffer for that! Sacrebleu! Ventre du Saint Gris!
silent_bullet_07_f000287|No man ever insults the honour of Poissan.|No man ever insults the honour of Poissan.
silent_bullet_07_f000288|Francois, water on the electrodes!|Francois, water on the electrodes!
silent_bullet_07_f000289|The assistant dashed a few drops of water on the electrodes. The sickish odour increased tremendously. I felt myself almost going, but with an effort I again roused myself.|The assistant dashed a few drops of water on the electrodes. The sickish odour increased tremendously. I felt myself almost going, but with an effort I again roused myself.
silent_bullet_07_f000290|I wondered how Craig stood the fumes, for I suffered an intense headache and nausea.|I wondered how Craig stood the fumes, for I suffered an intense headache and nausea.
silent_bullet_07_f000291|Stop! Craig thundered. There’s enough cyanogen in this room already.|Stop! Craig thundered. Theres enough cyanogen in this room already.
silent_bullet_07_f000292|I know your game - the water forms acetylene with the carbon, and that uniting with the nitrogen of the air under the terrific heat of the electric arc forms hydrocyanic acid.|I know your game - the water forms acetylene with the carbon, and that uniting with the nitrogen of the air under the terrific heat of the electric arc forms hydrocyanic acid.
silent_bullet_07_f000293|Would you poison us, too? Do you think you can put me unconscious out on the street and have a society doctor diagnose my case as pneumonia?|Would you poison us, too? Do you think you can put me unconscious out on the street and have a society doctor diagnose my case as pneumonia?
silent_bullet_07_f000294|Or do you think we shall die quietly in some hospital as a certain New York banker did last year after he had watched an alchemist make silver out of apparently nothing!|Or do you think we shall die quietly in some hospital as a certain New York banker did last year after he had watched an alchemist make silver out of apparently nothing!
silent_bullet_07_f000295|The effect on Poissan was terrible. He advanced toward Kennedy, the veins in his face fairly standing out. Shaking his forefinger, he shouted: You know that, do you?|The effect on Poissan was terrible. He advanced toward Kennedy, the veins in his face fairly standing out. Shaking his forefinger, he shouted: You know that, do you?
silent_bullet_07_f000296|You are no professor, and this is no banker.|You are no professor, and this is no banker.
silent_bullet_07_f000297|You are spies, spies. You come from the friends of Morowitch, do you? You have gone too far with me.|You are spies, spies. You come from the friends of Morowitch, do you? You have gone too far with me.
silent_bullet_07_f000298|Kennedy said nothing, but retreated and took his coat and hat off the window ledge. The hideous penetrating light of the tongues of flame from the furnace played on the ground-glass window.|Kennedy said nothing, but retreated and took his coat and hat off the window ledge. The hideous penetrating light of the tongues of flame from the furnace played on the ground-glass window.
silent_bullet_07_f000299|Poissan laughed a hollow laugh.|Poissan laughed a hollow laugh.
silent_bullet_07_f000300|Put down your hat and coat, Mistair Kennedy, he hissed. The door has been locked ever since you have been here. Those windows are barred, the telephone wire is cut,|Put down your hat and coat, Mistair Kennedy, he hissed. The door has been locked ever since you have been here. Those windows are barred, the telephone wire is cut,
silent_bullet_07_f000301|and it is three hundred feet to the street.|and it is three hundred feet to the street.
silent_bullet_07_f000302|We shall leave you here when the fumes have overcome you. Francois and I can stand them up to a point, and when we reach that point we are going.|We shall leave you here when the fumes have overcome you. Francois and I can stand them up to a point, and when we reach that point we are going.
silent_bullet_07_f000303|Instead of being cowed Kennedy grew bolder, though I, for my part, felt so weakened that I feared the outcome of a hand-to-hand encounter with either Poissan or Francois,|Instead of being cowed Kennedy grew bolder, though I, for my part, felt so weakened that I feared the outcome of a hand-to-hand encounter with either Poissan or Francois,
silent_bullet_07_f000304|who appeared as fresh as if nothing had happened.|who appeared as fresh as if nothing had happened.
silent_bullet_07_f000305|They were hurriedly preparing to leave us.|They were hurriedly preparing to leave us.
silent_bullet_07_f000306|That would do you no good, Kennedy rejoined, for we have no safe full of jewels for you to rob. There are no keys to offices to be stolen from our pockets.|That would do you no good, Kennedy rejoined, for we have no safe full of jewels for you to rob. There are no keys to offices to be stolen from our pockets.
silent_bullet_07_f000307|And let me tell you - you are not the only man in New York who knows the secret of thermite. I have told the secret to the police,|And let me tell you - you are not the only man in New York who knows the secret of thermite. I have told the secret to the police,
silent_bullet_07_f000308|and they are only waiting to find who destroyed Morowitch’s correspondence under the letter P to apprehend the robber of his safe.|and they are only waiting to find who destroyed Morowitchs correspondence under the letter P to apprehend the robber of his safe.
silent_bullet_07_f000309|Your secret is out.|Your secret is out.
silent_bullet_07_f000310|Revenge! revenge! Poissan cried. I will have revenge. Francois, bring out the jewels - ha! ha! - here in this bag are the jewels of mister Morowitch.|Revenge! revenge! Poissan cried. I will have revenge. Francois, bring out the jewels - ha! ha! - here in this bag are the jewels of mister Morowitch.
silent_bullet_07_f000311|To-night Francois and I will go down by the back elevator to a secret exit. In two hours all your police in New York cannot find us.|To-night Francois and I will go down by the back elevator to a secret exit. In two hours all your police in New York cannot find us.
silent_bullet_07_f000312|But in two hours you two impostors will be suffocated - perhaps you will die of cyanogen, like Morowitch, whose jewels I have at last.|But in two hours you two impostors will be suffocated - perhaps you will die of cyanogen, like Morowitch, whose jewels I have at last.
silent_bullet_07_f000313|He went to the door into the hall and stood there with a mocking laugh.|He went to the door into the hall and stood there with a mocking laugh.
silent_bullet_07_f000314|I moved to make a rush toward them, but Kennedy raised his hand.|I moved to make a rush toward them, but Kennedy raised his hand.
silent_bullet_07_f000315|You will suffocate, Poissan hissed again.|You will suffocate, Poissan hissed again.
silent_bullet_07_f000316|Just then we heard the elevator door clang, and hurried steps came down the long hall.|Just then we heard the elevator door clang, and hurried steps came down the long hall.
silent_bullet_07_f000317|Craig whipped out his automatic and began pumping the bullets out in rapid succession. As the smoke cleared I expected to see Poissan and Francois lying on the floor.|Craig whipped out his automatic and began pumping the bullets out in rapid succession. As the smoke cleared I expected to see Poissan and Francois lying on the floor.
silent_bullet_07_f000318|Instead, Craig had fired at the lock of the door. He had shattered it into a thousand bits. Andrews and his men were running down the hall.|Instead, Craig had fired at the lock of the door. He had shattered it into a thousand bits. Andrews and his men were running down the hall.
silent_bullet_07_f000319|Curse you! muttered Poissan as he banged the now useless lock, who let those fellows in? Are you a wizard?|Curse you! muttered Poissan as he banged the now useless lock, who let those fellows in? Are you a wizard?
silent_bullet_07_f000320|Craig smiled coolly as the ventilation cleared the room of the deadly cyanogen.|Craig smiled coolly as the ventilation cleared the room of the deadly cyanogen.
silent_bullet_07_f000321|On the window-sill outside is a selenium cell. Selenium is a bad conductor of electricity in the dark, and an excellent conductor when exposed to light.|On the window-sill outside is a selenium cell. Selenium is a bad conductor of electricity in the dark, and an excellent conductor when exposed to light.
silent_bullet_07_f000322|I merely moved my coat and hat, and the light from the furnace which was going to suffocate us played through the glass on the cell, the circuit was completed without your suspecting that I could communicate with friends outside,|I merely moved my coat and hat, and the light from the furnace which was going to suffocate us played through the glass on the cell, the circuit was completed without your suspecting that I could communicate with friends outside,
silent_bullet_07_f000323|a bell was rung on the street, and here they are.|a bell was rung on the street, and here they are.
silent_bullet_07_f000324|Andrews, there is the murderer of Morowitch, and there in his hands are the Morowitch - Poissan had moved toward the furnace.|Andrews, there is the murderer of Morowitch, and there in his hands are the Morowitch - Poissan had moved toward the furnace.
silent_bullet_07_f000325|With a quick motion he seized the long tongs. There was a cloud of choking vapour. Kennedy leaped to the switch and shut off the current.|With a quick motion he seized the long tongs. There was a cloud of choking vapour. Kennedy leaped to the switch and shut off the current.
silent_bullet_07_f000326|With the tongs he lifted out a shapeless piece of valueless black graphite.|With the tongs he lifted out a shapeless piece of valueless black graphite.
silent_bullet_07_f000327|All that is left of the priceless Morowitch jewels, he exclaimed ruefully. But we have the murderer.|All that is left of the priceless Morowitch jewels, he exclaimed ruefully. But we have the murderer.
silent_bullet_07_f000328|And to-morrow a certified check for one hundred thousand dollars goes to misis Morowitch with my humblest apologies and sympathy, added Andrews.|And to-morrow a certified check for one hundred thousand dollars goes to misis Morowitch with my humblest apologies and sympathy, added Andrews.
silent_bullet_07_f000329|Professor Kennedy, you have earned your retainer.|Professor Kennedy, you have earned your retainer.
silent_bullet_08_f000001|The Azure Ring.|The Azure Ring.
silent_bullet_08_f000002|Files of newspapers and innumerable clippings from the press bureaus littered Kennedy’s desk in rank profusion. Kennedy himself was so deeply absorbed that I had merely said good evening as I came in and had started to open my mail.|Files of newspapers and innumerable clippings from the press bureaus littered Kennedys desk in rank profusion. Kennedy himself was so deeply absorbed that I had merely said good evening as I came in and had started to open my mail.
silent_bullet_08_f000003|With an impatient sweep of his hand, however, he brushed the whole mass of newspapers into the waste-basket.|With an impatient sweep of his hand, however, he brushed the whole mass of newspapers into the waste-basket.
silent_bullet_08_f000004|It seems to me, Walter, he exclaimed in disgust, that this mystery is considered insoluble for the very reason which should make it easy to solve - the extraordinary character of its features.|It seems to me, Walter, he exclaimed in disgust, that this mystery is considered insoluble for the very reason which should make it easy to solve - the extraordinary character of its features.
silent_bullet_08_f000005|Inasmuch as he had opened the subject, I laid down the letter I was reading. I’ll wager I can tell you just why you made that remark, Craig, I ventured.|Inasmuch as he had opened the subject, I laid down the letter I was reading. Ill wager I can tell you just why you made that remark, Craig, I ventured.
silent_bullet_08_f000006|You’re reading up on that Wainwright-Templeton affair.|Youre reading up on that Wainwright-Templeton affair.
silent_bullet_08_f000007|You are on the road to becoming a detective yourself, Walter, he answered with a touch of sarcasm. Your ability to add two units to two other units and obtain four units is almost worthy of Inspector O’Connor.|You are on the road to becoming a detective yourself, Walter, he answered with a touch of sarcasm. Your ability to add two units to two other units and obtain four units is almost worthy of Inspector OConnor.
silent_bullet_08_f000008|You are right and within a quarter of an hour the district attorney of Westchester County will be here. He telephoned me this afternoon and sent an assistant with this mass of dope.|You are right and within a quarter of an hour the district attorney of Westchester County will be here. He telephoned me this afternoon and sent an assistant with this mass of dope.
silent_bullet_08_f000009|I suppose he’ll want it back, he added, fishing the newspapers out of the basket again.|I suppose hell want it back, he added, fishing the newspapers out of the basket again.
silent_bullet_08_f000010|But, with all due respect to your profession, I’ll say that no one would ever get on speaking terms with the solution of this case if he had to depend solely on the newspaper writers.|But, with all due respect to your profession, Ill say that no one would ever get on speaking terms with the solution of this case if he had to depend solely on the newspaper writers.
silent_bullet_08_f000011|No? I queried, rather nettled at his tone.|No? I queried, rather nettled at his tone.
silent_bullet_08_f000012|No, he repeated emphatically. Here one of the most popular girls in the fashionable suburb of Williston, and one of the leading younger members of the bar in New York,|No, he repeated emphatically. Here one of the most popular girls in the fashionable suburb of Williston, and one of the leading younger members of the bar in New York,
silent_bullet_08_f000013|engaged to be married, are found dead in the library of the girl’s home the day before the ceremony.|engaged to be married, are found dead in the library of the girls home the day before the ceremony.
silent_bullet_08_f000014|And now, a week later, no one knows whether it was an accident due to the fumes from the antique charcoal-brazier, or whether it was a double suicide,|And now, a week later, no one knows whether it was an accident due to the fumes from the antique charcoal-brazier, or whether it was a double suicide,
silent_bullet_08_f000015|or suicide and murder, or a double murder, or - or - why, the experts haven’t even been able to agree on whether they have discovered poison or not,|or suicide and murder, or a double murder, or - or - why, the experts havent even been able to agree on whether they have discovered poison or not,
silent_bullet_08_f000016|he continued, growing as excited as the city editor did over my first attempt as a cub reporter.|he continued, growing as excited as the city editor did over my first attempt as a cub reporter.
silent_bullet_08_f000017|They haven’t agreed on anything except that on the eve of what was, presumably, to have been the happiest day of their lives two of the best known members of the younger set are found dead,|They havent agreed on anything except that on the eve of what was, presumably, to have been the happiest day of their lives two of the best known members of the younger set are found dead,
silent_bullet_08_f000018|while absolutely no one, as far as is known, can be proved to have been near them within the time necessary to murder them.|while absolutely no one, as far as is known, can be proved to have been near them within the time necessary to murder them.
silent_bullet_08_f000019|No wonder the coroner says it is simply a case of asphyxiation. No wonder the district attorney is at his wits end. You fellows have hounded them with your hypotheses until they can’t see the facts straight.|No wonder the coroner says it is simply a case of asphyxiation. No wonder the district attorney is at his wits end. You fellows have hounded them with your hypotheses until they cant see the facts straight.
silent_bullet_08_f000020|You suggest one solution and before.|You suggest one solution and before.
silent_bullet_08_f000021|The door-bell sounded insistently, and without waiting for an answer a tall, spare, loose-jointed individual stalked in and laid a green bag on the table.|The door-bell sounded insistently, and without waiting for an answer a tall, spare, loose-jointed individual stalked in and laid a green bag on the table.
silent_bullet_08_f000022|Good evening, Professor Kennedy, he began brusquely. I am District Attorney Whitney, of Westchester. I see you have been reading up on the case. Quite right.|Good evening, Professor Kennedy, he began brusquely. I am District Attorney Whitney, of Westchester. I see you have been reading up on the case. Quite right.
silent_bullet_08_f000023|Quite wrong, answered Craig. Let me introduce my friend, mister Jameson, of the Star. Sit down. Jameson knows what I think of the way the newspapers have handled this case.|Quite wrong, answered Craig. Let me introduce my friend, mister Jameson, of the Star. Sit down. Jameson knows what I think of the way the newspapers have handled this case.
silent_bullet_08_f000024|I was about to tell him as you came in that I intended to disregard everything that had been printed, to start out with you as if it were a fresh subject and get the facts at first hand.|I was about to tell him as you came in that I intended to disregard everything that had been printed, to start out with you as if it were a fresh subject and get the facts at first hand.
silent_bullet_08_f000025|Let’s get right down to business. First tell us just how it was that Miss Wainwright and mister Templeton were discovered and by whom.|Lets get right down to business. First tell us just how it was that Miss Wainwright and mister Templeton were discovered and by whom.
silent_bullet_08_f000026|The district attorney loosened the cords of the green bag and drew out a bundle of documents. I’ll read you the affidavit of the maid who found them,|The district attorney loosened the cords of the green bag and drew out a bundle of documents. Ill read you the affidavit of the maid who found them,
silent_bullet_08_f000027|he said, fingering the documents nervously.|he said, fingering the documents nervously.
silent_bullet_08_f000028|You see, John Templeton had left his office in New York early that afternoon, telling his father that he was going to visit Miss Wainwright.|You see, John Templeton had left his office in New York early that afternoon, telling his father that he was going to visit Miss Wainwright.
silent_bullet_08_f000029|He caught the three-twenty train, reached Williston all right, walked to the Wainwright house, and, in spite of the bustle of preparation for the wedding,|He caught the three-twenty train, reached Williston all right, walked to the Wainwright house, and, in spite of the bustle of preparation for the wedding,
silent_bullet_08_f000030|the next day, he spent the rest of the afternoon with Miss Wainwright.|the next day, he spent the rest of the afternoon with Miss Wainwright.
silent_bullet_08_f000031|That’s where the mystery begins. They had no visitors. At least, the maid who answers the bell says they had none. She was busy with the rest of the family,|Thats where the mystery begins. They had no visitors. At least, the maid who answers the bell says they had none. She was busy with the rest of the family,
silent_bullet_08_f000032|and I believe the front door was not locked - we don’t lock our doors in Williston, except at night.|and I believe the front door was not locked - we dont lock our doors in Williston, except at night.
silent_bullet_08_f000033|He had found the paper and paused to impress these facts on our minds.|He had found the paper and paused to impress these facts on our minds.
silent_bullet_08_f000034|misis Wainwright and Miss Marian Wainwright, the sister, were busy about the house. misis Wainwright wished to consult Laura about something.|misis Wainwright and Miss Marian Wainwright, the sister, were busy about the house. misis Wainwright wished to consult Laura about something.
silent_bullet_08_f000035|She summoned the maid and asked if mister Templeton and Miss Wainwright were in the house. The maid replied that she would see, and this is her affidavit.|She summoned the maid and asked if mister Templeton and Miss Wainwright were in the house. The maid replied that she would see, and this is her affidavit.
silent_bullet_08_f000036|Ahem! I’ll skip the legal part: I knocked at the library door twice, but obtaining no answer, I supposed they had gone out for a walk or perhaps a ride across country as they often did.|Ahem! Ill skip the legal part: I knocked at the library door twice, but obtaining no answer, I supposed they had gone out for a walk or perhaps a ride across country as they often did.
silent_bullet_08_f000037|I opened the door partly and looked in. There was a silence in the room, a strange, queer silence. I opened the door further and, looking toward the davenport in the corner,|I opened the door partly and looked in. There was a silence in the room, a strange, queer silence. I opened the door further and, looking toward the davenport in the corner,
silent_bullet_08_f000038|I saw Miss Laura and mister Templeton in such an awkward position.|I saw Miss Laura and mister Templeton in such an awkward position.
silent_bullet_08_f000039|They looked as if they had fallen asleep. His head was thrown back against the cushions of the davenport, and on his face was a most awful look.|They looked as if they had fallen asleep. His head was thrown back against the cushions of the davenport, and on his face was a most awful look.
silent_bullet_08_f000040|It was discoloured. Her head had fallen forward on his shoulder, sideways, and on her face, too, was the same terrible stare and the same discolouration.|It was discoloured. Her head had fallen forward on his shoulder, sideways, and on her face, too, was the same terrible stare and the same discolouration.
silent_bullet_08_f000041|Their right hands were tightly clasped.|Their right hands were tightly clasped.
silent_bullet_08_f000042|I called to them. They did not answer. Then the horrible truth flashed on me. They were dead. I felt giddy for a minute, but quickly recovered myself,|I called to them. They did not answer. Then the horrible truth flashed on me. They were dead. I felt giddy for a minute, but quickly recovered myself,
silent_bullet_08_f000043|and with a cry for help I rushed to misis Wainwright’s room, shrieking that they were dead.|and with a cry for help I rushed to misis Wainwrights room, shrieking that they were dead.
silent_bullet_08_f000044|misis Wainwright fainted. Miss Marian called the doctor on the telephone and helped us restore her mother. She seemed perfectly cool in the tragedy,|misis Wainwright fainted. Miss Marian called the doctor on the telephone and helped us restore her mother. She seemed perfectly cool in the tragedy,
silent_bullet_08_f000045|and I do not know what we servants should have done if she had not been there to direct us.|and I do not know what we servants should have done if she had not been there to direct us.
silent_bullet_08_f000046|The house was frantic, and mister Wainwright was not at home.|The house was frantic, and mister Wainwright was not at home.
silent_bullet_08_f000047|I did not detect any odour when I opened the library door. No glasses or bottles or vials or other receptacles which could have held poison were discovered or removed by me,|I did not detect any odour when I opened the library door. No glasses or bottles or vials or other receptacles which could have held poison were discovered or removed by me,
silent_bullet_08_f000048|or to the best of my knowledge and belief by anyone else.|or to the best of my knowledge and belief by anyone else.
silent_bullet_08_f000049|What happened next? asked Craig eagerly.|What happened next? asked Craig eagerly.
silent_bullet_08_f000050|The family physician arrived and sent for the coroner immediately, and later for myself. You see, he thought at once of murder.|The family physician arrived and sent for the coroner immediately, and later for myself. You see, he thought at once of murder.
silent_bullet_08_f000051|But the coroner, I understand, thinks differently, prompted Kennedy.|But the coroner, I understand, thinks differently, prompted Kennedy.
silent_bullet_08_f000052|Yes, the coroner has declared the case to be accidental. He says that the weight of evidence points positively to asphyxiation.|Yes, the coroner has declared the case to be accidental. He says that the weight of evidence points positively to asphyxiation.
silent_bullet_08_f000053|Still, how can it be asphyxiation? They could have escaped from the room at any time;|Still, how can it be asphyxiation? They could have escaped from the room at any time;
silent_bullet_08_f000054|the door was not locked. I tell you, in spite of the fact that the tests for poison in their mouths, stomachs, and blood have so far revealed nothing,|the door was not locked. I tell you, in spite of the fact that the tests for poison in their mouths, stomachs, and blood have so far revealed nothing,
silent_bullet_08_f000055|I still believe that John Templeton and Laura Wainwright were murdered.|I still believe that John Templeton and Laura Wainwright were murdered.
silent_bullet_08_f000056|Kennedy looked at his watch thoughtfully. You have told me just enough to make me want to see the coroner himself, he mused.|Kennedy looked at his watch thoughtfully. You have told me just enough to make me want to see the coroner himself, he mused.
silent_bullet_08_f000057|If we take the next train out to Williston with you, will you engage to get us a half-hour talk with him on the case, mister Whitney?|If we take the next train out to Williston with you, will you engage to get us a half-hour talk with him on the case, mister Whitney?
silent_bullet_08_f000058|Surely. But we’ll have to start right away. I’ve finished my other business in New York. Inspector O’Connor - ah, I see you know him - has promised to secure the attendance of anyone whom I can show to be a material witness in the case.|Surely. But well have to start right away. Ive finished my other business in New York. Inspector OConnor - ah, I see you know him - has promised to secure the attendance of anyone whom I can show to be a material witness in the case.
silent_bullet_08_f000059|Come on, gentlemen: I’ll answer your other questions on the train.|Come on, gentlemen: Ill answer your other questions on the train.
silent_bullet_08_f000060|As we settled ourselves in the smoker, Whitney remarked in a low voice, You know, someone has said that there is only one thing more difficult to investigate|As we settled ourselves in the smoker, Whitney remarked in a low voice, You know, someone has said that there is only one thing more difficult to investigate
silent_bullet_08_f000061|and solve than a crime whose commission is surrounded by complicated circumstances and that is a crime whose perpetration is wholly devoid of circumstances.|and solve than a crime whose commission is surrounded by complicated circumstances and that is a crime whose perpetration is wholly devoid of circumstances.
silent_bullet_08_f000062|Are you so sure that this crime is wholly devoid of circumstances?|Are you so sure that this crime is wholly devoid of circumstances?
silent_bullet_08_f000063|asked Craig.|asked Craig.
silent_bullet_08_f000064|Professor, he replied, I’m not sure of anything in this case. If I were I should not require your assistance. I would like the credit of solving it myself, but it is beyond me.|Professor, he replied, Im not sure of anything in this case. If I were I should not require your assistance. I would like the credit of solving it myself, but it is beyond me.
silent_bullet_08_f000065|Just think of it: so far we haven’t a clue, at least none that shows the slightest promise, although we have worked night and day for a week.|Just think of it: so far we havent a clue, at least none that shows the slightest promise, although we have worked night and day for a week.
silent_bullet_08_f000066|It’s all darkness. The facts are so simple that they give us nothing to work on. It is like a blank sheet of paper.|Its all darkness. The facts are so simple that they give us nothing to work on. It is like a blank sheet of paper.
silent_bullet_08_f000067|Kennedy said nothing, and the district attorney proceeded: I don’t blame mister Nott, the coroner, for thinking it an accident.|Kennedy said nothing, and the district attorney proceeded: I dont blame mister Nott, the coroner, for thinking it an accident.
silent_bullet_08_f000068|But to my mind, some master criminal must have arranged this very baffling simplicity of circumstances. You recall that the front door was unlocked.|But to my mind, some master criminal must have arranged this very baffling simplicity of circumstances. You recall that the front door was unlocked.
silent_bullet_08_f000069|This person must have entered the house unobserved, not a difficult thing to do, for the Wainwright house is somewhat isolated.|This person must have entered the house unobserved, not a difficult thing to do, for the Wainwright house is somewhat isolated.
silent_bullet_08_f000070|Perhaps this person brought along some poison in the form of a beverage, and induced the two victims to drink. And then, this person must have removed the evidences as swiftly as they were brought in and by the same door.|Perhaps this person brought along some poison in the form of a beverage, and induced the two victims to drink. And then, this person must have removed the evidences as swiftly as they were brought in and by the same door.
silent_bullet_08_f000071|That, I think, is the only solution.|That, I think, is the only solution.
silent_bullet_08_f000072|That is not the only solution. It is one solution, interrupted Kennedy quietly.|That is not the only solution. It is one solution, interrupted Kennedy quietly.
silent_bullet_08_f000073|Do you think someone in the house did it? I asked quickly.|Do you think someone in the house did it? I asked quickly.
silent_bullet_08_f000074|I think, replied Craig, carefully measuring his words, that if poison was given them it must have been by someone they both knew pretty well.|I think, replied Craig, carefully measuring his words, that if poison was given them it must have been by someone they both knew pretty well.
silent_bullet_08_f000075|No one said a word, until at last I broke the silence. I know from the gossip of the Star office that many Williston people say that Marian was very jealous of her sister Laura for capturing the catch of the season.|No one said a word, until at last I broke the silence. I know from the gossip of the Star office that many Williston people say that Marian was very jealous of her sister Laura for capturing the catch of the season.
silent_bullet_08_f000076|Williston people don’t hesitate to hint at it.|Williston people dont hesitate to hint at it.
silent_bullet_08_f000077|Whitney produced another document from that fertile green bag. It was another affidavit. He handed it to us. It was a statement signed by misis Wainwright, and read:|Whitney produced another document from that fertile green bag. It was another affidavit. He handed it to us. It was a statement signed by misis Wainwright, and read:
silent_bullet_08_f000078|Before God, my daughter Marian is innocent.|Before God, my daughter Marian is innocent.
silent_bullet_08_f000079|If you wish to find out all, find out more about the past history of mister Templeton before he became engaged to Laura. She would never in the world have committed suicide.|If you wish to find out all, find out more about the past history of mister Templeton before he became engaged to Laura. She would never in the world have committed suicide.
silent_bullet_08_f000080|She was too bright and cheerful for that, even if mister Templeton had been about to break off the engagement. My daughters Laura and Marian were always treated by mister Wainwright and myself exactly alike.|She was too bright and cheerful for that, even if mister Templeton had been about to break off the engagement. My daughters Laura and Marian were always treated by mister Wainwright and myself exactly alike.
silent_bullet_08_f000081|Of course they had their quarrels, just as all sisters do, but there was never, to my certain knowledge, a serious disagreement, and I was always close enough to my girls to know.|Of course they had their quarrels, just as all sisters do, but there was never, to my certain knowledge, a serious disagreement, and I was always close enough to my girls to know.
silent_bullet_08_f000082|No, Laura was murdered by someone outside.|No, Laura was murdered by someone outside.
silent_bullet_08_f000083|Kennedy did not seem to attach much importance to this statement. Let us see, he began reflectively. First, we have a young woman especially attractive and charming in both person and temperament.|Kennedy did not seem to attach much importance to this statement. Let us see, he began reflectively. First, we have a young woman especially attractive and charming in both person and temperament.
silent_bullet_08_f000084|She is just about to be married and, if the reports are to be believed, there was no cloud on her happiness. Secondly, we have a young man whom everyone agrees to have been of an ardent,|She is just about to be married and, if the reports are to be believed, there was no cloud on her happiness. Secondly, we have a young man whom everyone agrees to have been of an ardent,
silent_bullet_08_f000085|energetic, optimistic temperament.|energetic, optimistic temperament.
silent_bullet_08_f000086|He had everything to live for, presumably. So far, so good. Everyone who has investigated this case, I understand, has tried to eliminate the double-suicide and the suicide-and-murder theories.|He had everything to live for, presumably. So far, so good. Everyone who has investigated this case, I understand, has tried to eliminate the double-suicide and the suicide-and-murder theories.
silent_bullet_08_f000087|That is all right, providing the facts are as stated. We shall see, later, when we interview the coroner.|That is all right, providing the facts are as stated. We shall see, later, when we interview the coroner.
silent_bullet_08_f000088|Now, mister Whitney, suppose you tell us briefly what you have learned about the past history of the two unfortunate lovers.|Now, mister Whitney, suppose you tell us briefly what you have learned about the past history of the two unfortunate lovers.
silent_bullet_08_f000089|Well, the Wainwrights are an old Westchester family, not very wealthy, but of the real aristocracy of the county. There were only two children, Laura and Marian.|Well, the Wainwrights are an old Westchester family, not very wealthy, but of the real aristocracy of the county. There were only two children, Laura and Marian.
silent_bullet_08_f000090|The Templetons were much the same sort of family. The children all attended a private school at White Plains, and there also they met Schuyler Vanderdyke.|The Templetons were much the same sort of family. The children all attended a private school at White Plains, and there also they met Schuyler Vanderdyke.
silent_bullet_08_f000091|These four constituted a sort of little aristocracy in the school. I mention this, because Vanderdyke later became Laura’s first husband.|These four constituted a sort of little aristocracy in the school. I mention this, because Vanderdyke later became Lauras first husband.
silent_bullet_08_f000092|This marriage with Templeton was a second venture.|This marriage with Templeton was a second venture.
silent_bullet_08_f000093|How long ago was she divorced? asked Craig attentively.|How long ago was she divorced? asked Craig attentively.
silent_bullet_08_f000094|About three years ago. I’m coming to that in a moment. The sisters went to college together, Templeton to law school, and Vanderdyke studied civil engineering.|About three years ago. Im coming to that in a moment. The sisters went to college together, Templeton to law school, and Vanderdyke studied civil engineering.
silent_bullet_08_f000095|Their intimacy was pretty well broken up, all except Laura’s and Vanderdyke’s. Soon after he graduated he was taken into the construction department of the Central Railroad by his uncle,|Their intimacy was pretty well broken up, all except Lauras and Vanderdykes. Soon after he graduated he was taken into the construction department of the Central Railroad by his uncle,
silent_bullet_08_f000096|who was a vice-president, and Laura and he were married.|who was a vice-president, and Laura and he were married.
silent_bullet_08_f000097|As far as I can learn he had been a fellow of convivial habits at college, and about two years after their marriage his wife suddenly became aware of what had long been well known in Williston,|As far as I can learn he had been a fellow of convivial habits at college, and about two years after their marriage his wife suddenly became aware of what had long been well known in Williston,
silent_bullet_08_f000098|that Vanderdyke was paying marked attention to a woman named Miss Laporte in New York.|that Vanderdyke was paying marked attention to a woman named Miss Laporte in New York.
silent_bullet_08_f000099|No sooner had Laura Vanderdyke learned of this intimacy of her husband, continued Whitney, than she quietly hired private detectives to shadow him,|No sooner had Laura Vanderdyke learned of this intimacy of her husband, continued Whitney, than she quietly hired private detectives to shadow him,
silent_bullet_08_f000100|and on their evidence she obtained a divorce.|and on their evidence she obtained a divorce.
silent_bullet_08_f000101|The papers were sealed, and she resumed her maiden name.|The papers were sealed, and she resumed her maiden name.
silent_bullet_08_f000102|As far as I can find out, Vanderdyke then disappeared from her life. He resigned his position with the railroad and joined a party of engineers exploring the upper Amazon.|As far as I can find out, Vanderdyke then disappeared from her life. He resigned his position with the railroad and joined a party of engineers exploring the upper Amazon.
silent_bullet_08_f000103|Later he went to Venezuela. Miss Laporte also went to South America about the same time, and was for a time in Venezuela, and later in Peru.|Later he went to Venezuela. Miss Laporte also went to South America about the same time, and was for a time in Venezuela, and later in Peru.
